"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42280.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0",""
"Book Value per Share","38.694","38.695","38.337","39.016","39.466","37.608","39.428","39.11","41.375","68.229","12.315","0.0","0.0","9.569",""
"Tangible Book Value per Share","23.652","23.295","22.995","22.898","21.463","19.923","21.157","16.03","17.339","27.019","14.097","0.0","0.0","10.772",""
"FCF per Share","-0.164","0.643","0.661","1.019","-0.557","0.566","1.123","0.605","0.349","0.123","0.707","0.546","0.473","0.347",""
"Interest Debt per Share","7.7931","7.8166","7.7956","7.7511","7.7494","7.4329","7.0896","0.5135","0.0","0.0","0.0","0.0","0.0","1.2345",""
"Cash per Share","4.0377","4.3104","3.9086","3.6788","3.3953","3.2036","6.1115","1.1612","2.1805","3.3137","1.6239","0.0","0.0","2.4319",""
"Debt to Equity Ratio","0.2014","0.202","0.2033","0.1987","0.1964","0.1976","0.1798","0.0131","0.0","0.0","0.0","0.0","0.0","0.129",""
"Total Debt To Total Assets","0.1536","0.1517","0.1493","0.1464","0.1478","0.1498","0.1409","0.0115","0.0","0.0","0.0","0.0","0.0","0.0948",""
"Interest Coverage","-2.2816","-1.7269","4.0794","2.9108","0.3634","0.8116","-1.7388","28.6242","5.7956","-185.4739","526.0305","386.8359","98.1835","0.279","10.7999"
"Current Ratio","4.054","3.49","2.712","2.839","3.534","4.037","6.132","3.59","4.709","4.611","3.437","2.443","","",""
"Income Quality","-3.3841","4.4192","-2.8022","21.1022","-10.465","-6.5984","-19.5925","37.9485","69.4656","21.3707","0.821","0.9272","0.9383","-30.326",""
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.5339","0.548","0.5597","0.5674","0.5907","0.5985","0.5795","0.6416","0.6253","0.6453","0.1205","0.0","0.0","0.1726",""
"Selling, General and Administrative Expense of Revenue","0.2176","0.2064","0.1581","0.1603","0.2056","0.209","0.2035","0.1906","0.2163","0.2284","0.0755","0.1018","0.12","0.1317","0.1242"
"Research and Development Expense of Revenue","0.1818","0.1799","0.1355","0.1458","0.1677","0.1764","0.1708","0.167","0.174","0.1819","0.1231","0.1339","0.141","0.1928","0.1746"
"Working Capital","1105298000.0","1042777000.0","939321000.0","1025091000.0","1065087000.0","1135409000.0","1543032000.0","920508000.0","1244490000.0","1174795000.0","535504000.0","0.0","0.0","317445000.0",""
"Tangible Asset Value","3002931000.0","2947846000.0","2916899000.0","2920546000.0","2737411000.0","2648607000.0","2948047000.0","2341172000.0","2589084000.0","2444564000.0","1025181000.0","0.0","0.0","761421000.0",""
"Net Current Asset Value","-62799000.0","-163996000.0","-273878000.0","-192710000.0","-168991000.0","-87937000.0","326679000.0","455983000.0","848307000.0","780886000.0","485204000.0","0.0","0.0","293457000.0",""
"Invested Capital","3117802000.0","2972709000.0","2861378000.0","2882507000.0","2872416000.0","2837055000.0","2783653000.0","1891101000.0","1927986000.0","1819440000.0","687335000.0","0.0","0.0","456813000.0",""
"Average Receivables","443001500.0","393465500.0","415480500.0","517511000.0","451796000.0","371691000.0","288675000.0","232755500.0","216521000.0","265122000.0","","","","",""
"Average Payables","239255500.0","210805000.0","238237000.0","264276500.0","234774500.0","193916000.0","159491000.0","102428500.0","103035500.0","131125500.0","","","","",""
"Average Inventory","463325500.0","429002500.0","405654500.0","415447500.0","409842500.0","387225500.0","288355500.0","196880000.0","181957000.0","236301500.0","","","","",""
