"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","45.021","43.128","42.508","40.919","37.84","36.364","36.651","37.533","37.834","36.307","37.204","40.54","39.828","39.662","40.049","39.874","38.115","38.059","38.096","39.931","37.967","39.491","38.699","38.866","38.466","38.234","36.709","36.492","33.704","34.834","35.059","34.81","32.972","31.587","31.855","32.878","33.011","32.378","30.251"
"Tangible Book Value per Share","101.056","101.125","102.627","103.165","103.05","95.321","93.162","93.98","95.426","93.177","91.132","86.164","88.095","88.962","89.269","89.42","88.929","88.714","88.927","86.839","87.025","88.566","87.719","89.4","88.229","87.703","87.789","82.908","81.773","80.599","81.532","76.614","72.762","72.242","73.441","70.196","73.153","68.95","63.5"
"FCF per Share","3.32","4.206","1.562","2.157","-4.666","1.051","0.39","1.63","-1.06","0.555","-4.348","2.616","1.802","0.624","-0.217","1.908","0.974","0.287","-2.993","2.257","1.023","0.175","0.182","-1.255","1.364","2.605","-4.805","1.612","-0.387","1.15","-5.345","-2.378","0.583","0.868","-3.67","0.858","-2.777","0.192","0.073"
"Interest Debt per Share","37.2891","39.8817","43.7475","45.2374","46.6816","40.1181","38.761","38.5971","39.929","38.9736","37.9208","31.3948","34.1774","36.1389","36.7139","36.0591","37.6038","38.6448","38.9267","35.6927","37.7546","39.2409","39.1042","40.4215","39.6488","40.5489","42.5141","37.5782","37.715","37.8108","39.3598","34.1194","31.6619","32.6051","32.8309","28.2348","29.8478","27.8868","25.5097"
"Cash per Share","0.6066","0.5087","0.618","0.8306","0.8137","0.541","0.5526","0.6702","0.7247","1.0459","0.8499","0.8232","0.8338","0.9784","0.9307","0.9537","0.9347","0.9854","0.8934","1.1069","0.974","1.2755","1.2068","2.0795","2.541","2.172","1.9511","2.0541","1.4826","1.2976","1.3305","1.3368","1.449","2.1334","1.8865","1.4142","1.8135","2.0679","1.0332"
"Debt to Equity Ratio","0.8283","0.9247","1.0292","1.1055","1.2337","1.1032","1.0576","1.0284","1.0554","1.0735","1.0193","0.7744","0.8581","0.9112","0.9167","0.9043","0.9866","1.0154","1.0218","0.8938","0.9944","0.9937","1.0105","1.04","1.0307","1.0606","1.1581","1.0298","1.119","1.0855","1.1227","0.9802","0.9603","1.0322","1.0306","0.8588","0.9042","0.8613","0.8433"
"Total Debt To Total Assets","0.3642","0.3892","0.4208","0.4329","0.4472","0.4151","0.4103","0.4051","0.4104","0.4101","0.4077","0.3564","0.3795","0.3974","0.4023","0.3945","0.4137","0.4262","0.4282","0.3955","0.4176","0.4263","0.429","0.4351","0.4314","0.4439","0.4656","0.4345","0.4431","0.4493","0.4618","0.4245","0.4143","0.4303","0.4259","0.3823","0.3871","0.3825","0.3803"
"Interest Coverage","5.8221","3.6735","4.2406","9.3919","3.9195","2.5148","4.2248","4.424","3.4141","1.6447","2.7053","9.1572","3.1096","1.3858","1.0927","5.5911","1.2849","1.8452","-3.4117","5.328","0.959","1.5068","1.4034","5.0628","2.0056","1.7792","1.2259","4.931","1.5927","2.042","0.9254","4.1171","0.4865","0.544","1.0169","6.1128","2.0452","1.97","1.8584"
"Current Ratio","0.145","0.144","0.168","0.178","0.196","0.203","0.195","0.207","0.191","0.219","0.208","0.23","0.276","0.299","0.224","0.21","0.202","0.189","0.218","0.27","0.25","0.362","0.316","0.393","0.404","0.403","0.295","0.302","0.264","0.272","0.373","0.369","0.318","0.366","0.365","0.412","0.447","0.531","0.424"
