"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","209.032","204.072","197.569","191.965","188.608","183.638","176.605","169.418","173.903","172.387","164.677","162.347","158.823","148.552","145.469","138.149","132.524","133.409","130.218","130.935","121.667","117.817","113.044","112.086","113.331","108.648","114.282","111.689","102.433","101.773","101.052","99.993","90.108","82.224","80.96","82.034","90.298","90.305","90.717"
"Tangible Book Value per Share","548.388","542.53","521.642","517.164","502.661","488.492","476.887","490.678","483.514","478.202","460.093","472.541","459.618","424.544","413.511","411.889","391.382","387.534","382.484","379.517","358.388","356.66","351.781","344.724","350.054","345.233","334.364","329.823","308.997","306.149","298.123","297.908","281.546","272.865","274.961","282.924","288.575","289.305","287.233"
"FCF per Share","6.149","9.334","10.331","6.595","7.277","8.795","6.843","6.115","4.075","7.883","2.847","7.378","4.844","7.749","5.705","7.939","3.594","5.076","4.162","3.375","2.631","3.084","3.185","3.825","2.775","3.456","2.326","5.294","3.759","4.574","3.082","5.172","1.68","2.945","0.903","6.114","-0.298","4.018","3.762"
"Interest Debt per Share","15.4199","15.48","15.491","15.1146","14.9523","14.9521","14.6918","14.4465","14.3676","14.3538","14.1084","19.5366","19.267","10.308","10.1941","10.0423","10.5712","16.012","15.8224","15.7875","15.5111","15.2249","15.2325","15.0525","15.806","15.7635","15.7879","16.0209","16.1405","13.7906","16.859","16.7275","16.5397","16.6058","19.2445","19.2039","19.1216","18.9005","18.8129"
"Cash per Share","11.4247","11.4466","11.7905","10.4038","10.1393","7.7046","6.5841","9.0799","7.6276","8.9621","9.6686","8.8363","7.4082","8.1353","12.7632","12.1242","8.7872","10.2575","10.386","9.2346","7.5618","8.7846","8.3535","8.1639","7.5803","5.22","4.6998","3.5763","3.2492","3.6104","4.1005","4.3559","7.6744","7.6231","3.3572","3.6424","3.6634","3.4944","3.9985"
"Debt to Equity Ratio","0.0738","0.0759","0.0784","0.0787","0.0793","0.0814","0.0832","0.0853","0.0826","0.0833","0.0857","0.1203","0.1213","0.0694","0.0701","0.0727","0.0798","0.12","0.1215","0.1206","0.1275","0.1292","0.1347","0.1343","0.1395","0.1451","0.1381","0.1434","0.1576","0.1355","0.1668","0.1673","0.1836","0.202","0.2377","0.2341","0.2118","0.2093","0.2074"
"Total Debt To Total Assets","0.0281","0.0285","0.0297","0.0292","0.0297","0.0306","0.0308","0.0294","0.0297","0.03","0.0307","0.0413","0.0419","0.0243","0.0247","0.0244","0.027","0.0413","0.0414","0.0416","0.0433","0.0427","0.0433","0.0437","0.0452","0.0457","0.0472","0.0486","0.0522","0.045","0.0566","0.0561","0.0587","0.0609","0.07","0.0679","0.0663","0.0653","0.0655"
"Interest Coverage","35.1895","38.7525","47.003","37.0831","21.5333","20.188","46.774","10.168","28.1317","41.5056","41.7641","24.8065","40.4346","46.8728","59.917","41.171","19.5725","35.8519","3.735","24.9446","19.0763","27.0146","-2.2386","1.7175","11.7369","-25.2864","19.1239","16.5608","13.3187","0.4131","13.5917","16.7511","19.2792","7.6068","-1.7814","-13.2547","9.5573","5.2572","1.2469"
"Income Quality","1.028","1.3092","1.1304","0.9352","1.9788","2.187","0.8251","3.0513","0.8661","1.0854","0.3787","1.2204","0.7696","1.2489","0.7495","1.6443","0.6515","0.6748","3.6612","0.6971","0.6468","0.5439","4.1685","3.2973","1.1472","-0.5955","0.4226","1.7094","1.4138","-11.9783","0.9434","1.3767","0.3794","1.6628","-3.3336","-1.6103","-0.12","3.2162","19.263"
"Payout Ratio","0.209","0.176","0.138","0.162","0.311","0.285","0.139","0.47","0.201","0.131","0.126","0.124","0.119","0.12","0.099","0.099","0.086","0.063","0.403","0.099","0.117","0.084","0.64","0.414","0.198","-0.083","0.089","0.154","0.178","-1.263","0.146","0.128","0.108","0.271","-1.846","-0.127","0.194","0.384","2.667"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.056","0.0568","0.0532","0.0562","0.0555","0.0644","0.049","0.0555","0.0488","0.0447","0.0466","0.0476","0.0429","0.0433","0.0511","0.0461","0.0451","0.0429","0.0479","0.0506","0.0472","0.0426","0.0363","0.0523","0.0422","0.0405","0.0348","0.041","0.0415","0.0372","0.0426","0.0423","0.0387","0.0406","0.0582","0.0498","0.0368","0.0439","0.0349"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","22521891000.0","22192953000.0","21321504000.0","21663082000.0","21282175000.0","20855854000.0","20545418000.0","21682311000.0","21482896000.0","21267287000.0","20817824000.0","21487213000.0","21191644000.0","20112395000.0","19808036000.0","20027920000.0","19559048000.0","19802071000.0","19777907000.0","19667473000.0","18903251000.0","19165400000.0","18893555000.0","18735588000.0","19003917000.0","18792434000.0","18384198000.0","18549911000.0","18206876000.0","18160085000.0","18001312000.0","18128891000.0","17326935000.0","16724994000.0","16846590000.0","17370387000.0","17792928000.0","18046001000.0","17999482000.0"
"Invested Capital","22685971000.0","22357944000.0","21472758000.0","21860409000.0","21485955000.0","21165280000.0","20894718000.0","21919452000.0","21782361000.0","21507077000.0","21018714000.0","21973771000.0","21738420000.0","20215323000.0","19684973000.0","19926691000.0","19648203000.0","20096109000.0","20059018000.0","20007062000.0","19322534000.0","19511475000.0","19263013000.0","19109979000.0","19450478000.0","19366360000.0","18993850000.0","19249819000.0","18966459000.0","18763952000.0","18771698000.0","18881750000.0","17872521000.0","17275584000.0","17819985000.0","18325800000.0","18746047000.0","19006984000.0","18927825000.0"
"Average Receivables","2889899500.0","2772728000.0","2619090500.0","2776765000.0","2469221000.0","2446040500.0","2382556000.0","2675389000.0","2347485000.0","2239365500.0","2149395000.0","2556581500.0","2315687000.0","2115047000.0","2021911500.0","2202457500.0","1945245500.0","1885920500.0","1855671500.0","1818637500.0","1721585500.0","1738021000.0","1702926500.0","1707672000.0","1767996000.0","1756848000.0","1692904000.0","1720519000.0","1725719000.0","1700704500.0","1683954500.0","1688846000.0","1709476000.0","1675482500.0","1694491000.0","1702409000.0","1787416000.0","1834163000.0","1860840500.0"
"Average Payables","243421000.0","193332000.0","182036500.0","231095000.0","192314000.0","189667000.0","156464000.0","207779500.0","188644500.0","158572500.0","128114000.0","220452000.0","204486000.0","141123500.0","139582500.0","226757000.0","135148500.0","107556000.0","111776500.0","130395500.0","49251000.0","38283000.0","54147000.0","47973000.0","35479000.0","34752500.0","50266500.0","57736000.0","47552000.0","46165500.0","52076000.0","50893000.0","46449500.0","49582000.0","59816000.0","39880500.0","39617500.0","51522000.0","57988500.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
