"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","39.348","64.289","24.799","24.568","22.198","20.969","21.815","19.956","19.939","19.863","20.447","19.979","19.34","19.585","19.965","19.771","19.908","19.501","19.148","20.006","20.042","20.379","20.112","20.424","20.552","22.827","20.584","21.63","22.072","22.629","23.347","22.827","24.518","24.115","24.24","24.783","25.308","25.325","25.354"
"Tangible Book Value per Share","62.632","100.562","41.822","41.493","44.178","41.338","43.303","43.146","42.953","43.229","44.451","44.131","43.212","43.089","41.902","41.796","42.122","42.27","42.163","41.832","44.468","44.248","44.042","45.256","44.517","48.527","48.57","48.669","49.078","48.111","49.353","51.815","53.045","59.93","58.991","59.575","60.939","60.059","58.86"
"FCF per Share","0.274","-0.339","-0.4","-0.038","0.369","0.37","0.059","0.345","0.195","-0.063","-0.379","0.322","0.192","0.042","-0.008","0.111","0.133","0.054","0.012","0.522","-0.206","-0.039","0.063","0.553","-1.668","0.384","-0.209","0.073","-2.213","0.403","0.103","0.277","0.15","-0.264","-0.307","-1.008","-0.74","-1.071","-1.496"
"Interest Debt per Share","20.626","32.5413","15.7179","15.5769","20.3278","18.803","19.7986","21.4923","21.0837","21.1919","21.6782","21.9066","21.9953","21.6681","20.0882","20.2017","20.6553","21.3555","21.4839","20.2524","22.9442","22.5015","22.048","22.8054","21.9155","23.4767","25.5836","24.468","24.9836","23.5503","23.8402","26.7448","26.2018","33.1592","31.7028","30.5417","31.385","30.2992","28.8442"
"Cash per Share","0.6156","0.4283","0.1711","0.4298","0.2914","0.3179","0.4314","0.3082","0.3588","0.4577","1.3061","1.1915","0.4943","0.4803","0.977","0.7367","0.7041","0.3152","0.3189","0.3056","0.3236","0.3728","0.1941","0.2357","0.2048","0.8031","0.2743","0.4745","1.3012","1.4656","1.2386","2.1646","1.5845","0.3523","0.3076","0.3684","0.595","0.4198","0.2682"
"Debt to Equity Ratio","0.5242","0.5062","0.6338","0.634","0.9158","0.8967","0.9076","1.077","1.0574","1.0669","1.0602","1.0965","1.1373","1.1064","1.0062","1.0218","1.0376","1.0951","1.122","1.0123","1.1448","1.1042","1.0963","1.1166","1.0663","1.0285","1.2429","1.1312","1.1319","1.0407","1.0211","1.1716","1.0687","1.375","1.3079","1.2324","1.2401","1.1964","1.1377"
"Total Debt To Total Assets","0.3134","0.306","0.3659","0.3651","0.4472","0.4425","0.4457","0.4852","0.4853","0.4843","0.4816","0.4901","0.5023","0.4958","0.4739","0.4785","0.4852","0.4999","0.5039","0.4796","0.5125","0.5052","0.4972","0.5006","0.4901","0.4817","0.5243","0.5015","0.5079","0.4883","0.4818","0.5148","0.4926","0.5517","0.5357","0.511","0.5132","0.5025","0.488"
"Interest Coverage","2.4048","0.2163","4.0229","1.4817","2.6424","3.2013","1.9447","3.3506","2.415","2.1429","3.8804","2.9306","2.1203","1.9086","2.9393","2.5052","2.3365","1.7481","0.3206","1.7304","1.3613","1.9444","1.5121","1.4351","1.5817","1.2302","-0.03","1.3978","1.4135","1.5602","2.1644","-1.8357","0.5218","1.9232","1.7858","3.1522","2.5685","2.4038","3.502"
"Income Quality","2.959","-0.985","1.2892","13.9559","2.1396","1.6045","3.3432","1.6629","2.2462","2.1633","0.8152","2.0486","2.6423","2.6955","1.083","2.6067","2.1357","2.6541","-1.645","7.2856","11.9475","3.2779","4.2583","9.5515","4.0732","22.5661","-0.2113","5.7749","5.2628","3.8678","1.1348","-0.7071","-3.702","2.0341","2.3168","1.6565","2.3149","1.5039","0.9126"
