"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","52.066","46.092","42.326","42.842","38.96","36.102","35.221","31.901","32.448","29.067","25.132","25.316","23.596","22.402","19.745","17.207","15.285","14.517","13.014","8.483","6.287","5.394","5.291","4.704","5.286","5.811","6.039","4.264","4.555","4.759","4.951","5.289","5.155","5.161","5.323","5.535","5.731","5.868","6.793"
"Tangible Book Value per Share","76.451","74.048","66.339","65.132","59.302","56.616","54.054","50.15","44.0","41.071","37.82","37.099","34.426","33.03","29.85","26.881","24.342","23.493","21.741","17.478","15.409","14.449","14.419","10.797","11.576","12.049","12.464","11.544","9.702","9.698","9.249","9.293","9.323","8.572","9.145","10.463","10.818","11.859","13.819"
"FCF per Share","-0.806","2.893","2.164","5.079","2.491","-0.567","1.003","7.226","0.174","-2.112","0.795","0.839","2.645","-0.114","2.152","0.619","0.959","0.671","0.815","-0.133","-0.965","-1.05","-0.671","-0.611","-0.541","-0.367","-0.836","1.708","-0.423","-0.398","-0.829","-0.403","-0.394","-0.469","-0.651","-0.644","-0.007","-0.267","0.592"
"Interest Debt per Share","6.6127","6.7026","4.577","3.6461","3.4552","3.4733","3.4974","3.8208","3.7716","4.6218","4.5107","5.6085","5.1583","5.3806","5.1038","4.9088","4.8444","4.7766","4.7791","4.7545","4.7176","4.7175","4.7446","1.7618","1.7729","1.7962","1.8309","1.9478","1.9365","1.933","1.3604","0.7834","0.7903","0.0","0.6842","1.4886","1.5079","2.548","2.9519"
"Cash per Share","7.0196","7.6893","5.0914","8.7793","6.1788","5.7936","7.7971","6.3338","3.796","4.9684","6.393","6.4145","5.978","4.679","5.4177","2.6796","3.9066","1.8617","2.4064","1.2525","1.8178","4.2226","5.2684","2.2669","2.8121","1.5183","1.2879","4.0261","1.4161","1.465","2.5839","3.1543","3.4294","2.5252","3.15","4.0074","3.7334","6.6563","7.3875"
"Debt to Equity Ratio","0.127","0.1454","0.1081","0.0851","0.0887","0.0962","0.0993","0.1198","0.1162","0.159","0.1795","0.2215","0.2186","0.2402","0.2585","0.2853","0.3169","0.329","0.3672","0.5604","0.7504","0.8746","0.8967","0.3745","0.3354","0.3091","0.3032","0.4569","0.4251","0.4062","0.2748","0.1481","0.1533","0.0","0.1285","0.2689","0.2631","0.4342","0.4345"
"Total Debt To Total Assets","0.0865","0.0905","0.069","0.056","0.0583","0.0613","0.0647","0.0762","0.0857","0.1125","0.1193","0.1512","0.1498","0.1629","0.171","0.1826","0.199","0.2033","0.2198","0.272","0.3062","0.3265","0.3291","0.1632","0.1532","0.1491","0.1469","0.1687","0.1996","0.1993","0.1471","0.0843","0.0848","0.0","0.0748","0.1423","0.1394","0.2149","0.2136"
"Interest Coverage","98.3616","58.6308","101.6267","1649.1126","234.6179","126.0572","-16.8154","309.9466","18.7142","39.3527","30.8776","20.6949","21.5171","16.5762","16.5368","20.2301","13.9953","13.1483","12.7059","17.7763","7.8301","2.044","-4.7174","-14.2187","-14.658","-10.7405","-4.9386","-14.1634","-9.877","-13.6459","-22.127","-0.747","0.0","0.0","-101.4983","-8.0322","-5.9892","-2.8585","-3.6478"
"Current Ratio","3.751","2.805","2.562","3.643","3.373","3.407","3.594","3.64","3.796","4.31","3.184","5.364","5.457","6.133","6.013","6.081","7.661","6.627","7.374","5.312","4.198","4.345","4.49","2.551","3.042","2.9","3.279","4.302","3.494","3.799","4.547","4.043","3.862","4.692","6.232","3.286","3.315","2.754","2.813"
"Income Quality","-0.0788","1.4297","1.4929","2.4585","2.036","0.248","1.8183","4.2436","1.3246","-1.3381","2.1996","1.9709","3.4915","0.7836","3.269","0.6543","1.4668","0.8723","0.1981","-0.0124","-1.0213","-7.4707","0.9415","0.7494","0.5448","0.2435","2.7986","-4.7676","0.4652","0.3138","1.2089","9.6768","0.0417","0.9995","1.2145","2.177","-0.3316","1.5405","-3.6324"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.2088","0.2251","0.2657","0.2213","0.2408","0.2412","0.2686","0.1846","0.1748","0.1828","0.2185","0.1984","0.1453","0.165","0.1623","0.1635","0.1583","0.1757","0.1393","0.1096","0.1567","0.2521","0.2956","0.3201","0.228","0.2086","0.1544","0.1477","0.1267","0.1374","0.1759","0.1093","0.1292","0.1523","0.2369","0.1693","0.2225","0.1955","0.1777"
"Research and Development Expense of Revenue","0.3469","0.3847","0.3906","0.4451","0.4617","0.3915","0.42","0.3745","0.3909","0.3946","0.4384","0.4653","0.4424","0.4593","0.4393","0.3753","0.4096","0.4101","0.4366","0.3701","0.4841","0.5991","1.0493","1.244","1.3278","1.1532","0.9367","1.1516","1.0746","1.1346","1.2272","0.8977","1.0466","1.071","1.3355","1.0992","1.101","1.0867","1.0147"
"Working Capital","2831034000.0","2360992000.0","1938693000.0","2540504000.0","2257662000.0","2213655000.0","2103933000.0","1940650000.0","1681799000.0","1774580000.0","1430099000.0","1790312000.0","1567117000.0","1565981000.0","1498099000.0","1365433000.0","1357560000.0","1109878000.0","1042462000.0","770035000.0","585973000.0","536529000.0","517506000.0","206637000.0","277405000.0","213249000.0","248566000.0","441886000.0","298179000.0","291351000.0","331933000.0","347429000.0","344608000.0","380678000.0","437770000.0","497769000.0","518475000.0","501551000.0","514165000.0"
"Tangible Asset Value","8106373000.0","7817365000.0","6973466000.0","6828019000.0","6204906000.0","5904460000.0","5609132000.0","5182915000.0","4526970000.0","4198573000.0","3837672000.0","3739419000.0","3456078000.0","3260396000.0","2951013000.0","2640415000.0","2378259000.0","2275998000.0","2080490000.0","1660615000.0","1457500000.0","1350159000.0","1323583000.0","983031000.0","1046864000.0","1074293000.0","1089432000.0","942433000.0","790641000.0","787156000.0","741202000.0","742192000.0","742345000.0","681421000.0","724220000.0","825891000.0","851225000.0","930876000.0","936258000.0"
"Net Current Asset Value","1274416000.0","717919000.0","655967000.0","1164917000.0","1080825000.0","994001000.0","960800000.0","789592000.0","1094829000.0","1083571000.0","797338000.0","1012881000.0","831459000.0","821901000.0","797997000.0","683916000.0","676440000.0","437472000.0","370907000.0","94012000.0","-93650000.0","-149220000.0","-172074000.0","-214906000.0","-155557000.0","-230701000.0","-203995000.0","-18650000.0","-1675000.0","-5441000.0","81068000.0","141845000.0","133193000.0","212690000.0","218736000.0","326582000.0","342165000.0","317232000.0","321838000.0"
"Invested Capital","7034216000.0","6404928000.0","5677894000.0","5328703000.0","4968358000.0","4742752000.0","4351787000.0","4188205000.0","3922921000.0","3627008000.0","2992004000.0","3247979000.0","3022211000.0","3024583000.0","2621143000.0","2590652000.0","2266084000.0","2361140000.0","2143992000.0","1814784000.0","1548569000.0","1236021000.0","1127235000.0","803803000.0","817018000.0","986816000.0","1027834000.0","638930000.0","713477000.0","721051000.0","549574000.0","438677000.0","411780000.0","377561000.0","445284000.0","409289000.0","452181000.0","322447000.0","352069000.0"
"Average Receivables","1798259000.0","1807384500.0","1539706500.0","1541593500.0","1573548000.0","1601841500.0","1222082500.0","1183284500.0","1144524500.0","1192979000.0","965669500.0","960039000.0","884970000.0","925067000.0","824043500.0","797047500.0","655698000.0","520492500.0","398077500.0","339859000.0","259972000.0","163251500.0","92476000.0","80367000.0","89880000.0","80007000.0","73742500.0","75026500.0","77621000.0","60033500.0","50390000.0","54986000.0","46442000.0","40584500.0","26766000.0","26587000.0","26658000.0","33296000.0","12906500.0"
"Average Payables","738003500.0","897526500.0","761604000.0","646172000.0","644574000.0","598019000.0","563800500.0","457702000.0","406445000.0","350348500.0","367192500.0","278557000.0","218605500.0","191674000.0","181120500.0","171681000.0","140297000.0","126068000.0","103485000.0","101557000.0","104216500.0","82662500.0","74641500.0","76933000.0","69960500.0","56253500.0","51344500.0","65133500.0","55068500.0","49368500.0","42599500.0","48589000.0","45085000.0","37573000.0","37700000.0","34879500.0","36597000.0","25197500.0","30351500.0"
"Average Inventory","435196500.0","384935000.0","318967000.0","268144000.0","243669500.0","218578500.0","183719500.0","155492500.0","140581500.0","110204000.0","99607500.0","60158500.0","54948500.0","43272500.0","49496000.0","0.0","0.0","0.0","14319000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
