"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","14.054","13.831","13.637","13.937","13.743","13.383","12.947","12.852","12.658","12.668","12.352","12.453","12.358","11.707","11.451","11.159","10.941","11.139","10.961","10.538","10.223","13.677","13.115","13.712","13.424","13.221","13.313","13.654","14.553","14.772","18.08","15.553","21.389","24.267","24.296","28.312","28.316","28.809","28.504"
"Tangible Book Value per Share","99.452","98.786","98.89","96.362","95.723","93.635","92.939","90.747","87.469","87.191","83.801","82.818","82.454","81.665","81.543","80.303","80.869","80.916","82.033","82.349","82.715","95.824","96.664","98.126","99.093","99.885","100.348","101.288","107.597","109.656","137.524","112.429","155.805","195.765","202.169","189.404","189.57","189.531","184.726"
"FCF per Share","0.322","0.598","0.095","0.437","0.294","0.568","-0.012","0.474","0.245","0.198","0.374","0.512","0.192","0.279","0.389","0.669","0.713","0.776","0.113","0.808","0.17","0.56","0.079","1.381","1.121","1.037","0.652","0.391","0.867","1.41","-0.722","0.479","3.034","-1.026","1.338","1.142","0.75","-1.007","-1.514"
"Interest Debt per Share","6.1273","4.9711","6.3527","4.8587","7.0909","6.105","6.4251","5.583","4.0809","3.9324","4.1837","4.1408","4.0943","4.5044","5.0922","4.763","6.2334","5.4331","5.2581","5.7709","6.744","7.8814","8.8847","10.3916","11.4213","12.2347","13.6253","14.3166","15.3158","15.3827","22.3782","19.6627","29.0297","40.57","50.6546","45.5603","44.4095","42.482","32.2736"
"Cash per Share","3.4368","3.6179","4.4607","3.4013","3.3494","3.4137","4.0846","3.7968","2.8127","4.477","2.9312","3.471","3.4971","3.7707","3.8293","2.7803","3.055","3.4912","3.8819","2.7793","2.6634","5.8292","5.7591","6.5631","6.3386","5.8234","5.5044","5.4789","6.1758","5.7546","8.1001","7.0387","9.6233","7.4098","15.8569","5.1121","5.9713","5.6993","6.8231"
"Debt to Equity Ratio","0.436","0.3594","0.4659","0.3486","0.516","0.4562","0.4963","0.4344","0.3224","0.3104","0.3387","0.3325","0.3313","0.3848","0.4447","0.4268","0.5697","0.4877","0.4797","0.5476","0.6597","0.5763","0.6774","0.7579","0.8508","0.9254","1.0235","1.0485","1.0525","1.0413","1.2377","1.2643","1.3572","1.6718","2.0849","1.6092","1.5683","1.4746","1.1323"
"Total Debt To Total Assets","0.0591","0.0483","0.0616","0.0484","0.0711","0.0625","0.0663","0.059","0.0447","0.0432","0.0478","0.0479","0.0475","0.0526","0.0597","0.0566","0.0736","0.0641","0.0613","0.067","0.0779","0.0788","0.088","0.1008","0.1098","0.1167","0.1294","0.1348","0.1358","0.1338","0.1555","0.167","0.1781","0.198","0.2397","0.2198","0.214","0.2047","0.1591"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","1.3967","2.5825","0.767","2.0066","1.3745","3.0661","0.5985","3.0744","1.3011","1.4541","2.945","2.5833","1.1181","1.3713","3.1862","3.4351","4.0039","3.4557","0.8659","3.9136","0.993","5.2069","-0.2276","17.5644","27.4545","78.3529","24.8056","-2.5789","-3.1881","-6.7725","0.9901","-1.2517","-11.1107","-23.8846","-0.1691","11.0886","3.1748","-1.7181","-12.4306"
"Payout Ratio","0.28","0.292","0.318","0.292","0.35","0.3","0.3","0.333","0.3","0.313","0.333","0.227","0.238","0.136","0.214","0.143","0.167","0.043","0.053","0.048","0.05","0.091","-0.021","0.125","0.25","1.0","0.25","-0.059","-0.036","-0.048","-0.018","-0.027","-0.036","2.5","-0.011","0.909","1.267","0.792","3.455"
"Intangible Assets out of Total Assets","0.0409","0.0411","0.0407","0.0408","0.0406","0.0408","0.0408","0.0408","0.0417","0.0416","0.0426","0.0428","0.0429","0.0458","0.0435","0.0462","0.0456","0.045","0.0441","0.044","0.044","0.0424","0.0429","0.0479","0.0477","0.0471","0.0469","0.0463","0.046","0.0459","0.0443","0.0451","0.0443","0.0445","0.0434","0.0864","0.0865","0.0868","0.0891"
"Selling, General and Administrative Expense of Revenue","0.4915","0.495","0.483","0.4648","0.4954","0.5092","0.5059","0.5004","0.4766","0.5016","0.4844","0.4799","0.4774","0.4862","0.4613","0.475","0.4812","0.4701","0.4556","0.4655","0.4496","0.4862","0.5184","0.5437","0.5704","0.6275","0.1331","0.8939","0.7794","0.8809","-0.0902","1.3209","0.6941","0.4979","1.5882","0.6127","0.5636","0.4756","0.61"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","119541000000.0","119432000000.0","120843000000.0","120067000000.0","121090000000.0","120415000000.0","120913000000.0","119695000000.0","116771000000.0","117359000000.0","114472000000.0","114123000000.0","113622000000.0","112535000000.0","112285000000.0","111460000000.0","113297000000.0","114335000000.0","115995000000.0","116441000000.0","116959000000.0","122847000000.0","121603000000.0","123541000000.0","124659000000.0","125555000000.0","126138000000.0","127319000000.0","129116000000.0","130929000000.0","136011000000.0","133678000000.0","136485000000.0","135665000000.0","139901000000.0","131825000000.0","131941000000.0","131724000000.0","128468904000.0"
"Invested Capital","122775000000.0","121068000000.0","123155000000.0","121883000000.0","125823000000.0","123876000000.0","123958000000.0","122051000000.0","118464000000.0","116626000000.0","116183000000.0","115046000000.0","114445000000.0","113546000000.0","114024000000.0","114212000000.0","117750000000.0","117079000000.0","117941000000.0","120671000000.0","122729000000.0","125478000000.0","125535000000.0","128361000000.0","131053000000.0","133614000000.0","136346000000.0","138428000000.0","140084000000.0","142425000000.0","150132000000.0","148688000000.0","153485000000.0","158645000000.0","163981000000.0","159977000000.0","158694000000.0","157288000000.0","146168675000.0"
"Average Receivables","312500000.0","311000000.0","319000000.0","310500000.0","308500000.0","313500000.0","314500000.0","313000000.0","306500000.0","314500000.0","311500000.0","320500000.0","317000000.0","341000000.0","328500000.0","346500000.0","333500000.0","381500000.0","352500000.0","392000000.0","347500000.0","419000000.0","391000000.0","467000000.0","410000000.0","472000000.0","444500000.0","505500000.0","483500000.0","464500000.0","463000000.0","505500000.0","505500000.0","487500000.0","536855500.0","851463500.0","863662500.0","866249000.0","926092000.0"
"Average Payables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
