"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","37.501","36.325","35.753","34.774","33.631","32.765","32.482","31.56","31.222","30.744","30.236","29.475","28.625","27.796","27.192","26.457","25.648","25.184","24.756","24.106","23.346","23.872","21.397","21.005","20.762","20.489","19.865","19.222","18.553","18.106","17.625","17.258","16.638","16.189","16.039","16.422","15.976","15.107","15.449"
"Tangible Book Value per Share","229.197","226.22","219.339","219.134","201.598","193.51","185.47","182.095","170.705","172.971","169.214","163.499","161.932","160.922","155.044","164.86","158.132","162.319","160.422","153.378","154.405","148.458","144.611","145.578","130.197","124.364","122.052","148.752","123.87","127.545","123.182","154.238","150.668","154.139","156.652","179.976","157.538","153.601","145.748"
"FCF per Share","2.037","1.672","5.131","-3.298","-0.08","-2.34","1.506","2.875","0.433","0.874","1.604","0.289","2.175","0.7","0.028","1.73","1.58","-0.653","1.605","1.118","0.919","0.553","-0.273","3.728","-0.446","-0.702","9.929","-8.715","0.551","0.661","-1.215","-0.312","1.907","-0.924","2.224","0.737","0.37","-0.166","0.584"
"Interest Debt per Share","20.0414","16.1713","19.7048","17.5581","14.3484","13.9267","14.1612","15.3482","14.9699","15.6197","15.3394","15.1896","14.8365","12.1697","12.0126","11.8632","11.5751","13.4192","13.0143","12.9702","14.2037","13.7858","7.1508","7.3113","6.2984","4.2946","5.4428","26.9013","5.3516","4.7294","4.3268","13.0006","2.3949","2.8128","2.7237","21.2473","4.3483","5.7837","6.2885"
"Cash per Share","18.1994","18.3887","17.791","11.6734","14.0124","10.4599","18.1492","18.1529","18.0247","17.8481","18.7572","15.6518","20.2877","18.8857","20.145","18.755","18.7108","15.7756","16.0243","14.6013","12.7834","22.2326","15.5565","19.804","12.9724","10.255","9.945","24.5679","7.2411","7.7878","8.5766","19.5818","4.5734","2.7079","4.1355","27.9591","5.7902","7.0453","5.8163"
"Debt to Equity Ratio","0.5344","0.4452","0.5511","0.5049","0.4266","0.4251","0.436","0.4863","0.4795","0.5081","0.5073","0.5153","0.5183","0.4378","0.4418","0.4484","0.4513","0.5328","0.5257","0.538","0.6084","0.5775","0.3342","0.3481","0.3034","0.2096","0.274","1.3995","0.2884","0.2612","0.2455","0.7533","0.1439","0.1737","0.1698","1.2939","0.2722","0.3828","0.4071"
"Total Debt To Total Assets","0.0861","0.0704","0.0884","0.0788","0.0702","0.071","0.0753","0.0831","0.0864","0.089","0.0893","0.0915","0.0902","0.0744","0.0762","0.0708","0.072","0.0813","0.0798","0.0831","0.0907","0.0925","0.0493","0.05","0.0482","0.0344","0.0444","0.1802","0.043","0.0369","0.035","0.084","0.0158","0.0182","0.0173","0.1177","0.0275","0.0375","0.043"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","1.757","2.522","5.5113","-2.5112","0.136","-2.4273","2.3321","3.3625","0.6314","1.243","1.8975","0.4156","2.5905","1.1149","0.1416","2.0997","2.8281","-0.7752","2.7714","2.1062","1.9216","1.2932","-0.2969","6.7939","-0.9153","-0.9821","14.8361","-15.0553","1.1641","1.5509","-3.2286","-0.7015","5.4169","-16.4563","4.4823","2.0419","0.836","-0.1369","1.3621"
