"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","41.178","40.19","43.705","43.507","42.809","44.725","44.806","44.521","44.012","44.57","46.254","45.577","44.679","44.039","44.772","44.148","41.421","41.869","41.38","40.924","37.655","39.529","38.283","36.702","34.097","34.424","35.738","33.22","30.512","31.705","31.135","30.137","28.538","27.572","27.271","25.432","24.969","23.637","23.623"
"Tangible Book Value per Share","57.305","55.147","58.608","59.202","59.4","60.35","61.154","61.706","56.728","56.541","58.502","58.541","54.826","52.675","53.241","55.1","45.947","45.597","45.623","45.562","41.611","43.868","42.765","42.574","37.869","37.261","37.905","36.684","32.645","33.562","33.482","32.604","32.039","30.657","30.918","29.843","29.536","30.08","29.876"
"FCF per Share","3.582","0.527","6.755","-1.185","1.984","0.738","4.276","-1.168","3.052","-1.007","5.573","-2.613","3.712","0.568","5.094","-2.467","2.522","0.454","5.62","-0.186","2.245","-0.12","4.696","0.195","1.843","0.114","3.064","-0.028","1.367","0.053","4.378","-0.07","2.767","-0.32","3.221","-0.382","3.423","-0.69","3.809"
"Interest Debt per Share","7.2353","7.1644","7.1308","8.3676","8.3073","8.5197","7.1967","8.493","5.2254","6.0939","4.6879","5.7692","3.3746","3.2533","3.3296","6.4491","2.9846","2.9535","3.0088","2.9113","2.8308","2.9697","2.8807","4.0531","3.2417","3.0406","2.8806","2.9864","2.6924","2.8698","3.0192","3.0936","4.2117","4.0968","4.247","4.423","4.7216","6.7181","6.0856"
"Cash per Share","10.1765","8.1401","11.2349","5.2479","5.4862","5.4516","6.2073","4.4393","5.6647","5.7274","8.6606","5.4638","7.9978","8.7009","9.7891","9.281","10.3524","10.7743","10.9671","5.9551","5.0813","7.2684","8.8482","4.4219","4.5953","4.7188","6.7372","4.5644","3.5576","5.7284","9.8563","4.2606","6.2581","4.8508","5.8128","4.2054","5.5658","5.455","7.9173"
"Debt to Equity Ratio","0.1757","0.1783","0.1632","0.1923","0.1941","0.1905","0.1606","0.1908","0.1187","0.1367","0.1013","0.1266","0.0755","0.0739","0.0744","0.1461","0.0721","0.0705","0.0727","0.0711","0.0752","0.0751","0.0752","0.1104","0.0951","0.0883","0.0806","0.0899","0.0882","0.0905","0.097","0.1027","0.1476","0.1486","0.1557","0.1739","0.1891","0.2842","0.2576"
"Total Debt To Total Assets","0.1015","0.1041","0.0987","0.1141","0.1131","0.1148","0.0964","0.1128","0.0745","0.0871","0.0651","0.0797","0.0489","0.0489","0.0495","0.093","0.0496","0.0493","0.0499","0.0481","0.0502","0.0507","0.0499","0.0701","0.0614","0.0586","0.0549","0.0585","0.0582","0.0607","0.0641","0.0673","0.0928","0.0933","0.0957","0.1027","0.1102","0.1556","0.1423"
"Interest Coverage","18.36","-191.0714","32.0","19.25","-8.7647","9.8286","31.1667","55.75","23.5","37.8936","101.3333","56.6","59.75","55.75","82.0","42.1429","54.0","29.0","60.0","58.0","57.8","26.1731","42.6032","55.2969","46.0","22.8627","56.4419","70.5455","38.6667","32.0","36.9783","44.2679","18.2879","7.3279","22.3649","41.0984","21.8857","22.0588","25.0441"
"Current Ratio","2.537","2.547","2.636","2.445","2.316","2.548","2.843","2.801","2.688","2.803","2.797","2.775","3.13","3.432","3.396","2.921","2.616","2.643","2.519","3.134","2.915","3.065","2.887","2.471","2.769","2.978","3.171","2.763","2.829","3.045","3.113","3.07","2.486","3.051","2.779","2.539","2.519","2.084","2.116"
"Income Quality","5.6168","-0.5007","7.5366","-0.2444","-10.8924","3.7319","3.7099","0.2125","5.1875","0.0266","2.8605","-0.6965","2.5617","0.9608","2.2785","-0.3659","1.6298","0.9606","2.7315","0.1776","1.3938","1.0678","2.9627","0.3045","1.1537","1.2896","2.1989","0.2563","1.4189","0.8957","4.3546","0.1589","3.806","0.5258","3.4454","-0.054","4.167","-0.0425","3.9539"
"Payout Ratio","0.0","0.0","0.51","0.909","-1.852","1.0","0.323","0.267","0.676","0.35","0.184","0.198","0.247","0.271","0.172","0.175","0.201","0.284","0.169","0.171","0.19","0.194","0.109","0.079","0.102","0.263","0.057","0.047","0.081","0.086","0.089","0.028","0.065","0.111","0.047","0.031","0.052","0.049","0.045"
