"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.84","13.089","12.102","12.591","12.059","11.937","10.893","10.411","11.27","10.912","11.342","11.798","12.508","11.996","11.526","11.919","11.288","12.339","12.23","11.91","11.257","11.171","10.665","10.302","11.337","10.854","10.568","9.75","8.488","8.83","8.37","7.978","7.401","6.412","6.361","6.442","7.026","6.897","6.551"
"Tangible Book Value per Share","15.121","14.854","14.159","13.992","13.502","13.352","12.668","13.893","13.279","14.033","14.321","14.171","14.416","14.385","14.127","14.102","13.221","14.287","13.915","13.401","12.792","12.509","11.742","10.665","11.696","10.976","10.592","10.034","9.209","9.69","9.03","9.043","8.36","7.185","6.993","6.878","7.304","6.974","6.788"
"FCF per Share","0.861","0.374","0.745","0.509","0.915","0.796","1.008","0.771","0.621","0.571","0.621","0.47","0.691","0.591","0.454","0.519","0.756","0.608","0.558","0.452","0.595","0.529","0.672","0.51","0.373","0.427","0.331","0.289","0.281","0.276","-0.02","0.332","0.299","0.154","0.192","0.221","0.251","0.267","-0.019"
"Interest Debt per Share","7.6151","8.2444","8.2691","8.3328","8.3443","3.1073","2.8699","3.5677","2.1342","3.2714","3.2108","2.6811","2.1397","2.8079","3.0647","2.5408","2.1083","2.3785","2.1007","1.8636","1.7564","1.6385","1.5471","0.8918","0.6561","0.5236","0.4222","0.6192","0.8022","0.9524","0.9659","1.0836","1.0734","1.0523","1.0094","0.9597","0.8941","0.8528","0.8563"
"Cash per Share","5.8029","5.8379","5.5774","5.5521","5.2042","5.1253","4.7082","5.8589","5.0923","6.1532","6.2885","6.2921","6.4431","6.6584","6.8401","6.877","6.1404","7.0673","6.6912","6.2434","5.6686","5.3885","4.9412","4.0572","4.8163","4.383","4.0428","3.565","3.2222","3.4527","3.0046","3.1688","2.7585","2.1569","2.1156","1.9975","2.0854","1.9834","1.7981"
"Debt to Equity Ratio","0.5502","0.6299","0.6833","0.6618","0.692","0.2603","0.2635","0.3427","0.1894","0.2998","0.2831","0.2273","0.1711","0.2341","0.2659","0.2132","0.1868","0.1928","0.1718","0.1565","0.156","0.1467","0.1451","0.0866","0.0579","0.0482","0.04","0.0635","0.0945","0.1079","0.1154","0.1358","0.145","0.1641","0.1587","0.149","0.1272","0.1236","0.1307"
"Total Debt To Total Assets","0.311","0.3414","0.3517","0.3531","0.3601","0.1782","0.1794","0.222","0.1378","0.2022","0.1933","0.1627","0.1274","0.1674","0.1858","0.1545","0.1361","0.1435","0.1291","0.1184","0.1173","0.1108","0.1109","0.0693","0.0484","0.0409","0.0342","0.0523","0.0748","0.0839","0.0895","0.1008","0.1073","0.1204","0.117","0.1123","0.0979","0.0968","0.1005"
"Interest Coverage","5.3073","0.0","0.0","0.0","11.4794","0.0","0.0","0.0","19.0194","0.0","0.0","0.0","18.3984","0.0","0.0","0.0","14.7509","0.0","0.0","0.0","21.5827","0.0","0.0","0.0","44.9187","0.0","0.0","0.0","27.9696","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","4.565","4.774","2.228","2.377","2.225","4.887","5.087","5.957","5.283","6.056","6.003","6.035","5.773","6.334","6.442","2.549","2.524","2.722","6.093","5.731","5.383","5.149","5.46","5.063","6.189","6.284","4.644","3.732","3.151","3.171","3.855","3.215","3.171","3.185","3.159","3.903","3.838","5.06","4.241"
