"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","16.963","17.077","15.976","15.463","16.343","16.978","16.969","16.93","19.032","19.025","18.946","19.388","19.724","19.857","19.392","18.654","14.455","14.432","14.126","13.226","13.567","14.25","13.08","12.275","13.229","12.949","11.185","10.306","9.69","9.967","9.63","9.297","11.344","11.209","11.432","11.72","12.964","12.802","11.996"
"Tangible Book Value per Share","46.058","44.775","45.175","44.848","43.345","40.598","39.293","38.608","38.138","37.099","36.173","35.941","34.978","34.988","33.53","33.253","32.771","32.173","32.082","31.987","29.913","29.936","29.085","28.893","28.831","27.718","25.814","25.536","24.776","24.121","22.958","22.328","21.361","21.677","23.314","23.788","26.668","25.907","25.453"
"FCF per Share","2.224","2.122","2.118","1.822","1.921","1.549","1.099","2.314","1.958","1.981","1.684","2.053","1.907","1.3","1.213","2.106","1.887","1.209","1.047","2.469","1.636","1.566","-1.543","0.968","1.338","1.413","-0.025","0.15","0.787","1.166","0.746","0.679","1.186","1.062","0.16","1.368","1.023","0.215","0.506"
"Interest Debt per Share","14.3474","14.4786","14.8051","15.2673","14.4515","13.7226","12.5486","11.2596","11.1109","11.1594","10.4248","8.938","8.5891","9.0101","8.3413","7.8218","8.1001","8.15","8.313","7.5857","8.2922","8.1684","8.8505","6.3553","6.311","6.3103","6.3815","6.386","6.3718","6.3539","6.3718","6.3891","6.3853","6.9244","7.6243","6.9709","8.4641","8.3336","8.4317"
"Cash per Share","12.067","11.195","12.4287","11.8601","11.6279","10.6996","10.9954","10.7074","11.6694","10.3996","9.5273","8.6893","8.5152","8.9516","8.9899","8.6645","7.3772","6.9079","6.8507","6.4564","5.6853","5.6968","6.2341","6.9445","7.1255","7.1151","5.4252","5.7403","5.8169","5.7388","5.0444","4.5466","4.0967","3.6714","3.9124","4.0402","5.5085","5.1784","5.8305"
"Debt to Equity Ratio","0.8458","0.8478","0.9267","0.9873","0.8843","0.8083","0.7395","0.6651","0.5838","0.5866","0.5502","0.461","0.4355","0.4537","0.4301","0.4193","0.5604","0.5647","0.5885","0.5735","0.6112","0.5732","0.6766","0.5177","0.477","0.4873","0.5705","0.6196","0.6576","0.6375","0.6617","0.6873","0.5629","0.6177","0.6669","0.5948","0.6529","0.651","0.7029"
"Total Debt To Total Assets","0.2553","0.2638","0.2678","0.2767","0.2736","0.2738","0.2576","0.2343","0.2329","0.2397","0.2279","0.1969","0.1929","0.2026","0.1946","0.1855","0.1949","0.1995","0.2028","0.1884","0.2183","0.2142","0.2377","0.1712","0.1699","0.177","0.1894","0.1906","0.1961","0.1992","0.2057","0.2101","0.2173","0.2346","0.2454","0.2187","0.2423","0.2458","0.2538"
"Interest Coverage","15.4503","13.1852","14.7754","14.0165","14.9392","13.3295","14.6149","17.7006","18.3537","18.6115","20.2953","23.6","20.0278","17.56","19.3087","19.7383","17.8235","15.8431","15.1039","18.1074","17.1053","15.8867","17.1933","18.5411","16.0952","14.2208","13.6149","11.3816","11.5068","11.5099","7.2403","2.8947","4.2597","4.6209","10.4867","11.9752","13.8614","12.4114","13.1667"
"Current Ratio","2.029","2.132","2.036","2.118","2.444","2.7","2.86","2.935","2.948","3.163","2.221","2.325","2.282","2.316","2.417","2.382","2.245","2.338","2.28","2.212","2.096","2.207","2.058","2.312","2.311","2.504","2.35","2.116","2.053","2.184","2.268","2.254","2.202","2.138","1.98","1.87","1.733","1.802","1.73"
"Income Quality","1.4537","1.5884","1.4476","1.4687","1.445","1.2768","0.9962","1.7288","1.3891","1.3845","1.2521","1.3104","1.5078","1.1248","1.0273","1.6303","1.4428","1.1518","1.0366","1.9985","1.3849","1.5107","-1.0311","0.8979","1.2518","1.3534","0.0839","0.4615","1.1348","1.3029","1.5587","4.0761","5.7896","4.1847","0.4122","1.9467","1.2595","0.4104","0.6481"
"Payout Ratio","0.45","0.517","0.455","0.5","0.49","0.558","0.511","0.43","0.425","0.425","0.411","0.32","0.403","0.446","0.406","0.335","0.356","0.376","0.405","0.338","0.313","0.356","0.326","0.298","0.28","0.302","0.33","0.38","0.345","0.302","0.537","1.381","1.261","1.0","0.349","0.333","0.279","0.299","0.276"
"Intangible Assets out of Total Assets","0.1804","0.1844","0.183","0.1872","0.1793","0.1898","0.1933","0.1965","0.2005","0.2031","0.2091","0.2083","0.2145","0.2131","0.2177","0.2114","0.2113","0.2125","0.2175","0.2055","0.2125","0.215","0.2188","0.2215","0.224","0.2223","0.234","0.2379","0.2376","0.2438","0.2589","0.2657","0.2731","0.2654","0.2496","0.2538","0.2367","0.2357","0.234"
"Selling, General and Administrative Expense of Revenue","0.2419","0.2633","0.2483","0.2613","0.2352","0.249","0.2523","0.2244","0.239","0.2466","0.2457","0.2233","0.2391","0.2452","0.2421","0.2353","0.2362","0.2474","0.2508","0.2322","0.237","0.239","0.2459","0.2346","0.244","0.2432","0.2541","0.2611","0.2628","0.2775","0.2927","0.2949","0.3017","0.2767","0.2635","0.2679","0.256","0.2547","0.2617"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","2260300000.0","2292000000.0","2283300000.0","2209100000.0","2454600000.0","2558100000.0","2573800000.0","2569100000.0","2758900000.0","2766700000.0","2161700000.0","2242100000.0","2195000000.0","2232700000.0","2181100000.0","2135200000.0","1932800000.0","1967000000.0","1904700000.0","1855900000.0","1705200000.0","1788900000.0","1601200000.0","1745200000.0","1756400000.0","1770700000.0","1511600000.0","1364300000.0","1291900000.0","1320800000.0","1262100000.0","1187600000.0","1149800000.0","1138000000.0","1168700000.0","1133500000.0","1159300000.0","1185900000.0","1125600000.0"
"Tangible Asset Value","5913900000.0","5762500000.0","5795900000.0","5772000000.0","5626200000.0","5298100000.0","5178800000.0","5146400000.0","5122000000.0","5004700000.0","4905000000.0","4927500000.0","4827000000.0","4845800000.0","4647200000.0","4608800000.0","4551900000.0","4504200000.0","4469000000.0","4478200000.0","4238700000.0","4265900000.0","4124200000.0","4114300000.0","4134300000.0","3974800000.0","3660400000.0","3618500000.0","3518200000.0","3434800000.0","3260000000.0","3161600000.0","3026800000.0","3067300000.0","3301200000.0","3427800000.0","3901500000.0","3805800000.0","3784800000.0"
"Net Current Asset Value","-581000000.0","-549800000.0","-557400000.0","-926100000.0","-580500000.0","-261000000.0","-226000000.0","-251100000.0","324400000.0","332300000.0","299600000.0","368000000.0","484500000.0","521500000.0","466800000.0","420800000.0","-278400000.0","-262500000.0","-350700000.0","-397300000.0","-198300000.0","-133400000.0","-310300000.0","-461800000.0","-334900000.0","-306400000.0","-561100000.0","-701300000.0","-719900000.0","-686400000.0","-774300000.0","-854500000.0","-450300000.0","-451800000.0","-419500000.0","-468200000.0","-473800000.0","-434200000.0","-490100000.0"
"Invested Capital","4010500000.0","4159700000.0","3896900000.0","4234600000.0","4293400000.0","4187700000.0","4000100000.0","3892300000.0","3631000000.0","3827900000.0","3255900000.0","3269500000.0","3124500000.0","3157200000.0","3018600000.0","2947300000.0","3100000000.0","3208200000.0","3184800000.0","3104700000.0","3051700000.0","3136400000.0","2982400000.0","2700500000.0","2678200000.0","2682300000.0","2675900000.0","2487700000.0","2370300000.0","2406700000.0","2453500000.0","2475300000.0","2394700000.0","2527800000.0","2634500000.0","2547000000.0","2752300000.0","2790500000.0","2630100000.0"
"Average Receivables","1067200000.0","1055300000.0","1026150000.0","1060000000.0","1053400000.0","1044150000.0","1061250000.0","1128400000.0","1131050000.0","1132350000.0","1138050000.0","1200950000.0","1166450000.0","1171750000.0","1147550000.0","1186700000.0","1147100000.0","1144550000.0","1085250000.0","1125350000.0","1092250000.0","1077850000.0","997850000.0","961200000.0","935900000.0","898750000.0","860100000.0","792650000.0","783550000.0","769950000.0","796650000.0","843100000.0","865500000.0","864250000.0","880750000.0","943800000.0","936600000.0","914050000.0","862900000.0"
"Average Payables","571350000.0","532450000.0","488200000.0","532400000.0","539850000.0","507850000.0","474600000.0","521150000.0","555600000.0","533900000.0","496600000.0","533650000.0","531700000.0","513300000.0","497400000.0","547150000.0","492800000.0","462450000.0","464150000.0","501350000.0","482600000.0","461700000.0","434850000.0","445400000.0","438650000.0","426000000.0","374500000.0","374500000.0","343000000.0","339150000.0","344250000.0","375300000.0","389150000.0","382700000.0","408850000.0","467900000.0","438500000.0","425400000.0","416100000.0"
"Average Inventory","570900000.0","556450000.0","551950000.0","531100000.0","577850000.0","582650000.0","577850000.0","562000000.0","627400000.0","631550000.0","619550000.0","601900000.0","637200000.0","653750000.0","646100000.0","617200000.0","626900000.0","652050000.0","661950000.0","630350000.0","662650000.0","643000000.0","644950000.0","622500000.0","633500000.0","573200000.0","540650000.0","519850000.0","518400000.0","526400000.0","534600000.0","505950000.0","531250000.0","560500000.0","577550000.0","540100000.0","537250000.0","523350000.0","502750000.0"
