"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","60.741","58.603","57.049","56.352","54.825","53.836","52.554","50.942","49.908","47.893","47.481","46.451","45.534","43.766","42.42","40.953","39.253","38.252","37.466","36.645","35.03","34.34","33.124","31.938","31.108","30.219","29.009","27.954","26.672","26.097","26.562","24.456","23.688","22.632","22.333","22.427","21.878","21.067","20.178"
"Tangible Book Value per Share","19.146","19.248","19.926","19.427","17.206","16.092","17.997","18.479","18.031","17.377","17.082","17.569","17.465","16.591","16.068","16.653","16.221","15.646","15.274","15.006","16.044","15.033","14.087","13.262","12.995","13.263","13.047","12.728","12.641","11.289","11.742","12.102","11.604","11.43","11.687","12.063","11.522","11.494","12.78"
"FCF per Share","1.562","3.535","2.535","3.038","1.583","1.948","2.559","2.183","1.609","2.495","2.504","2.167","1.306","2.03","2.282","2.463","1.302","1.619","2.057","2.01","1.116","1.355","1.876","1.632","1.516","0.815","1.549","1.408","1.092","0.944","1.234","0.887","1.139","0.503","1.333","1.47","0.981","0.732","1.199"
"Interest Debt per Share","55.2738","57.3271","61.1952","30.4724","30.54","30.7873","32.4433","27.8005","25.1032","26.1558","21.9801","23.6794","22.4747","23.2537","24.8178","26.2669","27.8358","19.416","20.5442","21.5045","10.9711","11.1056","11.2484","12.2237","12.9913","13.0202","14.1416","15.6558","12.0031","11.9203","12.6561","12.3707","12.8446","13.6916","14.1227","15.0214","12.8047","13.6568","11.9343"
"Cash per Share","6.4982","7.1715","7.4622","8.7033","6.1462","5.1749","7.7211","6.9584","6.747","6.1318","6.095","5.6373","5.6596","5.0512","4.6288","4.6366","3.7801","4.3491","3.7651","3.6282","5.3242","4.655","3.5051","2.565","2.0438","2.7413","2.8514","2.6594","3.0926","2.0391","1.8397","2.8173","2.4384","1.9694","1.9845","1.7435","1.6338","1.6982","3.481"
"Debt to Equity Ratio","0.91","0.9782","1.0727","0.5408","0.557","0.5719","0.6173","0.5457","0.503","0.5461","0.4629","0.5098","0.4936","0.5313","0.5851","0.6414","0.7091","0.5076","0.5483","0.5868","0.3132","0.3234","0.3396","0.3827","0.4176","0.4309","0.4875","0.5601","0.45","0.4568","0.4765","0.5058","0.5422","0.605","0.6324","0.6698","0.5853","0.6482","0.5915"
"Total Debt To Total Assets","0.397","0.4105","0.4335","0.2948","0.3003","0.3043","0.3217","0.2967","0.2795","0.2925","0.2621","0.2784","0.2717","0.2827","0.3011","0.316","0.3358","0.2722","0.286","0.2986","0.1943","0.1984","0.204","0.2234","0.2367","0.2436","0.2645","0.292","0.2572","0.2607","0.2666","0.2809","0.2938","0.3147","0.3191","0.3305","0.3045","0.3232","0.3066"
"Interest Coverage","6.5751","5.608","9.4725","9.9573","9.3714","8.9323","14.2296","12.3041","12.4128","12.4126","14.6916","12.3025","12.5941","11.3391","12.7986","8.8953","8.1518","8.7585","10.9878","10.9889","11.82","10.9678","12.1437","10.9221","10.5713","8.5476","9.7708","7.6377","7.2135","6.252","7.1731","6.3709","7.2033","6.3984","6.6508","8.0302","10.4442","7.8805","6.5187"
"Current Ratio","1.135","1.113","1.229","2.3","2.115","1.838","2.247","2.508","2.424","2.176","2.408","2.315","2.4","2.144","2.136","2.191","1.179","1.187","1.147","1.095","2.586","2.332","2.013","1.959","1.85","2.029","1.85","1.88","2.078","1.924","1.822","2.035","1.825","1.741","1.387","1.348","0.993","1.083","1.425"
