"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","22.665","22.605","22.621","22.298","22.552","22.476","22.404","22.355","22.134","21.97","21.842","22.254","22.047","21.74","21.881","21.39","21.247","21.317","21.204","21.18","20.876","20.894","20.743","20.398","20.266","20.396","20.423","20.271","20.088","19.839","19.86","19.89","19.757","19.338","37.018","7.196","6.933","6.892","7.002"
"Tangible Book Value per Share","27.789","27.18","27.306","27.137","26.975","26.517","26.352","26.956","26.494","26.065","25.28","25.11","24.794","24.496","24.666","24.291","24.075","23.709","23.584","23.493","23.17","22.654","22.941","22.46","22.746","21.728","21.747","21.772","22.077","21.806","21.983","22.329","22.092","23.481","44.92","16.562","16.268","16.068","15.497"
"FCF per Share","0.481","0.652","0.887","0.848","0.509","0.472","0.42","0.572","0.514","0.65","0.763","0.495","0.199","0.515","0.639","0.424","0.273","0.574","0.73","0.328","0.514","0.175","0.677","0.761","0.494","0.375","0.694","0.489","0.328","0.253","0.287","0.378","0.067","0.855","-0.419","0.365","0.451","0.368","0.621"
"Interest Debt per Share","23.0142","22.5658","22.5262","22.6074","22.1402","21.8888","21.7086","21.671","21.5358","21.4113","19.9131","19.732","19.7984","19.4922","19.43","19.4612","19.3679","19.3904","19.4619","19.4428","19.3351","18.6105","18.6924","18.8406","19.3165","17.8127","17.5523","18.0414","18.6078","18.6523","18.2793","18.5826","18.7126","19.9963","39.1586","8.7702","8.8846","9.2437","8.42"
"Cash per Share","0.1065","0.0977","0.1994","0.1605","0.1221","0.0967","0.0934","0.2938","0.2849","0.3801","0.2121","0.3171","0.139","0.4886","0.5905","0.269","0.2665","0.3587","0.1861","0.2025","0.1884","0.1981","0.179","0.1945","0.8474","0.1777","0.2298","0.3138","0.1464","0.2134","0.126","0.2826","0.1783","0.5107","0.3493","1.1591","1.0489","1.3108","1.0032"
"Debt to Equity Ratio","1.0154","0.9983","0.9958","1.0139","0.9817","0.9739","0.969","0.9694","0.973","0.9746","0.9117","0.8867","0.898","0.8966","0.888","0.9098","0.9116","0.9096","0.9179","0.918","0.9262","0.8907","0.9011","0.9237","0.9531","0.8733","0.8594","0.89","0.9263","0.9402","0.9204","0.9343","0.9471","1.034","1.0578","1.2188","1.2815","1.3412","1.2025"
"Total Debt To Total Assets","0.3748","0.3724","0.3713","0.3749","0.3688","0.3681","0.3668","0.3637","0.3654","0.3673","0.3514","0.3518","0.3548","0.3534","0.3518","0.355","0.3554","0.3581","0.3604","0.3618","0.3631","0.3549","0.354","0.3614","0.3712","0.351","0.3465","0.356","0.3637","0.3655","0.3563","0.3613","0.3649","0.3815","0.3866","0.3471","0.3556","0.3739","0.3509"
"Interest Coverage","4.7196","4.3132","4.2733","2.3167","4.1616","3.7228","3.817","4.8192","4.2645","4.2099","1.8965","4.3954","4.3452","3.5299","4.4734","3.93","2.0089","3.0424","3.1594","3.3927","2.8047","3.14","3.4714","3.7322","1.8223","3.2481","3.1636","2.8803","3.0697","1.8625","1.5452","2.4613","3.4698","2.3029","-1.6602","7.4336","4.2085","6.785","6.5274"
"Current Ratio","0.508","0.695","0.709","0.716","0.682","0.654","0.671","0.76","0.75","0.765","0.762","0.789","0.718","0.77","0.828","0.729","0.725","0.73","0.726","0.747","0.704","0.687","0.667","0.675","0.671","0.511","0.466","0.469","0.523","0.561","0.496","0.669","0.573","0.551","0.517","0.68","0.682","0.797","0.658"
