"","42918.0","42827.0","42735.0","42645.0","42554.0","42463.0","42369.0","42274.0","42183.0","42092.0","42004.0","41910.0","41819.0","41728.0","41639.0","41546.0","41455.0","41364.0","41274.0","41182.0","41091.0","41000.0","40908.0","40818.0","40727.0","40636.0","40543.0","40447.0","40356.0","40265.0","40178.0","40083.0","39992.0","39901.0","39813.0","39719.0","39628.0","39537.0","39447.0"
"Book Value per Share","37.155","35.455","34.589","35.47","34.736","33.86","33.637","33.431","32.955","31.586","30.888","37.925","37.487","36.304","34.541","27.415","26.394","25.402","24.331","27.294","25.923","24.527","23.638","29.001","28.623","27.557","26.757","26.997","25.914","26.685","25.643","24.487","23.958","22.971","21.946","30.48","30.108","29.626","29.215"
"Tangible Book Value per Share","52.914","51.366","52.614","49.682","48.175","46.95","48.323","47.992","45.074","47.956","47.524","43.592","43.518","43.802","41.328","43.452","41.933","42.684","42.229","39.609","37.607","38.493","38.457","32.951","32.528","33.748","33.952","29.211","29.811","31.326","30.492","28.794","28.891","28.037","27.706","29.021","28.227","26.976","27.146"
"FCF per Share","2.371","-0.451","3.119","1.816","2.168","0.552","2.189","3.36","0.95","-0.026","2.452","1.088","0.316","1.971","3.043","2.552","-0.339","1.121","2.537","3.108","-0.918","0.074","3.326","2.112","-0.469","-0.17","1.948","0.879","0.837","0.533","2.372","1.721","1.119","0.897","0.72","1.593","1.636","-0.007","1.745"
"Interest Debt per Share","17.3392","18.2225","18.1681","18.0755","17.9574","17.8329","17.7019","17.5722","17.4771","17.3466","17.2683","15.2453","15.1379","15.0552","14.8182","14.6764","14.5773","14.4965","14.3421","13.8817","13.8208","13.552","13.3054","10.2146","10.1409","10.0391","9.9028","6.2174","6.1066","6.1411","6.0775","5.8887","5.8238","5.7408","5.5764","5.4521","5.364","5.366","5.2829"
"Cash per Share","7.4448","7.4638","11.2482","7.9364","6.7883","6.4683","7.7317","8.0811","5.9907","9.4558","10.4486","8.4771","10.4233","9.6531","10.317","9.1227","7.5998","9.5755","9.6645","9.132","7.0499","10.4185","11.5574","6.8012","5.9408","7.3952","9.9796","5.7443","6.2588","6.8929","6.8943","6.2714","5.5802","5.5234","5.4556","6.6227","6.0378","5.3637","6.1844"
"Debt to Equity Ratio","0.4667","0.514","0.5253","0.5096","0.517","0.5267","0.5263","0.5256","0.5303","0.5492","0.5591","0.402","0.4038","0.4147","0.429","0.5353","0.5523","0.5707","0.5895","0.5086","0.5332","0.5525","0.5629","0.3522","0.3543","0.3643","0.3701","0.2303","0.2356","0.2301","0.237","0.2405","0.2431","0.2499","0.2541","0.1789","0.1782","0.1811","0.1808"
"Total Debt To Total Assets","0.167","0.1787","0.1764","0.1811","0.1833","0.185","0.182","0.1824","0.1875","0.1918","0.1921","0.1801","0.1795","0.1784","0.1823","0.1767","0.1794","0.1773","0.1773","0.1794","0.1837","0.1797","0.1781","0.1498","0.1502","0.1469","0.1478","0.1018","0.1","0.0978","0.0987","0.1002","0.0996","0.1004","0.0998","0.0956","0.0962","0.0989","0.0974"
"Interest Coverage","16.1765","13.1379","14.9655","14.1379","16.8966","11.0862","14.6379","11.9655","11.0847","14.5345","15.9091","14.3585","15.1296","15.5686","15.3333","14.3962","14.3585","13.3585","14.0577","16.0408","14.8","14.2","18.8667","17.2439","15.6512","13.7442","24.6071","25.3939","10.0606","21.7813","27.4643","24.0625","24.7097","22.0625","20.0625","23.3793","20.0294","18.3529","15.7073"
"Current Ratio","1.66","1.667","1.665","1.692","1.638","1.628","1.602","1.506","1.543","1.817","1.787","1.727","1.747","1.746","1.69","1.67","1.701","1.663","1.567","1.634","1.616","1.603","1.519","1.412","1.512","1.483","1.48","1.416","1.36","1.526","1.425","1.46","1.493","1.572","1.44","1.615","1.659","1.676","1.591"
