"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","40.854","40.63","40.063","39.713","38.957","38.761","38.09","37.922","37.446","37.264","34.923","34.821","34.255","34.082","33.125","32.819","32.278","33.207","31.47","31.164","30.634","30.522","29.985","29.729","29.611","29.711","29.104","28.31","28.307","28.223","27.707","27.306","26.847","26.7","25.893","27.037","26.915","26.804","26.272"
"Tangible Book Value per Share","133.352","129.167","130.91","129.083","123.667","121.54","119.986","115.507","114.542","114.808","117.773","111.689","110.275","108.731","107.699","107.045","107.006","109.799","110.727","106.271","105.034","104.221","104.348","102.014","102.288","100.649","101.95","99.542","97.859","98.078","98.325","95.086","96.223","95.964","97.806","90.726","90.129","87.823","87.104"
"FCF per Share","-1.4","-0.203","0.084","-0.105","-1.085","-2.743","-0.35","1.211","-0.42","-1.099","-0.994","-0.028","-0.459","-1.07","0.234","-0.4","0.466","-0.729","-1.045","0.396","-0.122","-1.044","-0.27","0.108","0.016","-0.422","-0.7","0.877","-0.24","-0.46","-0.984","-0.465","-0.534","0.066","-1.361","-1.332","-0.943","-0.206","-0.326"
"Interest Debt per Share","54.3177","51.4486","52.0014","51.5535","50.7558","48.3695","45.6893","44.0728","44.1358","43.1491","46.0854","43.772","43.2534","42.5301","41.3707","41.5989","41.2536","42.7232","43.5152","42.207","42.4217","42.0338","40.9098","40.6042","40.5525","39.7811","38.5928","38.1596","38.9856","39.7658","39.3984","36.7918","38.6864","38.7097","38.9881","35.5337","34.4045","33.1191","32.0394"
"Cash per Share","0.6368","0.084","1.4556","0.3919","0.4689","0.6018","1.2316","0.3779","0.3849","0.2169","0.9594","0.5771","0.5081","0.7796","0.9659","0.2141","0.659","0.3199","0.5455","0.312","0.2139","0.2072","0.2236","0.5732","1.2918","0.9539","0.4324","0.2133","0.655","1.2682","1.3171","0.8408","3.202","3.7055","2.3129","1.0418","1.2853","1.5253","1.1482"
"Debt to Equity Ratio","1.3296","1.2663","1.298","1.2981","1.3029","1.2479","1.1995","1.1622","1.1787","1.1579","1.3196","1.2571","1.2627","1.2479","1.2489","1.2675","1.2781","1.2866","1.3828","1.3543","1.3848","1.3772","1.3644","1.3658","1.3695","1.3389","1.326","1.3479","1.3773","1.409","1.4219","1.3474","1.441","1.4498","1.5057","1.3143","1.2783","1.2356","1.2195"
"Total Debt To Total Assets","0.4073","0.3983","0.3972","0.3994","0.4104","0.398","0.3808","0.3816","0.3853","0.3758","0.3913","0.3919","0.3922","0.3911","0.3841","0.3886","0.3855","0.3891","0.393","0.3972","0.4039","0.4033","0.392","0.398","0.3965","0.3952","0.3785","0.3834","0.3984","0.4055","0.4007","0.3869","0.402","0.4034","0.3986","0.3917","0.3817","0.3771","0.3678"
"Interest Coverage","3.0114","3.8161","3.1149","4.125","2.8193","4.0723","2.7195","3.7407","2.8974","9.1558","2.9136","3.6203","2.8684","4.7105","3.1081","3.5676","2.6622","3.9733","2.9868","3.3067","2.4384","3.4028","2.9722","3.0411","2.1286","3.6429","3.0882","3.0746","2.2576","3.6462","3.0492","3.4407","2.4182","4.0517","3.1094","3.6071","2.6296","4.2642","3.84"
"Current Ratio","0.543","0.63","0.729","0.78","0.697","0.599","0.706","0.944","1.107","0.829","0.869","0.885","0.92","0.891","0.985","1.123","1.22","0.939","0.843","0.965","0.843","1.01","0.908","0.843","0.868","0.764","0.874","0.75","0.822","1.082","1.211","1.184","1.735","1.88","1.59","1.116","0.954","0.987","0.756"
"Income Quality","1.3884","1.4795","3.3306","2.1005","1.5238","-0.3125","2.5714","2.8859","1.8384","0.4875","1.6381","1.7847","1.6979","0.715","2.6311","2.1832","3.5294","1.2781","0.6762","2.6967","3.5278","1.5289","1.3673","2.4","3.2857","1.8828","1.7263","2.8416","3.463","1.3622","0.9868","1.9806","2.7636","2.1754","0.5814","0.8191","3.0351","1.4128","2.2159"
"Payout Ratio","0.718","0.513","0.655","0.432","0.77","0.463","0.797","0.529","0.797","0.196","0.726","0.525","0.779","0.387","0.699","0.543","0.85","0.451","0.62","0.527","0.891","0.527","0.632","0.593","1.091","0.48","0.635","0.588","1.093","0.461","0.758","0.56","1.044","0.5","0.63","0.575","0.958","0.489","0.587"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
