"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","25.756","22.316","20.218","17.369","13.582","10.941","9.322","10.588","8.209","5.059","10.38","14.261","15.786","16.726","17.512","18.611","18.369","17.781","17.378","17.527","15.173","14.78","14.619","16.152","16.688","15.315","14.911","15.435","14.219","13.849","13.155","15.01","15.052","13.644","13.735","15.007","14.331","13.553","14.216"
"Tangible Book Value per Share","81.179","60.574","57.806","59.982","57.457","50.731","47.048","50.73","50.975","47.723","44.291","51.21","50.304","47.577","48.262","54.14","48.444","45.808","45.886","41.225","41.294","39.583","36.771","39.814","40.126","38.187","34.709","35.281","32.055","29.834","26.73","27.678","27.695","26.768","26.596","32.194","33.004","30.598","27.923"
"FCF per Share","3.362","2.057","2.972","4.321","5.556","-1.247","5.033","5.239","3.896","-1.056","1.412","5.071","3.905","-1.138","2.444","4.374","3.465","-1.2","2.565","3.291","3.152","-1.838","2.245","3.033","2.096","-1.716","1.667","1.996","3.067","-1.308","1.904","2.878","3.127","-1.162","2.209","2.667","2.515","-0.84","2.087"
"Interest Debt per Share","123.9137","21.115","21.0159","21.3247","21.4689","22.2969","20.944","21.119","24.7032","27.225","18.7369","17.7278","17.4874","17.3221","16.9922","19.2081","16.5764","16.7112","16.5351","9.5486","12.2707","12.95","9.5736","11.4423","11.7017","12.7562","9.6799","10.0169","8.4372","9.6401","7.2137","6.267","6.9511","9.2963","7.1319","8.8649","10.6649","11.2818","7.6858"
"Cash per Share","2.2625","10.9973","9.5772","7.6372","4.3868","0.7712","2.2099","0.9873","0.8137","0.6902","0.4243","2.7568","2.766","3.7079","7.3509","10.3097","7.2894","6.0212","8.366","0.5435","0.4595","0.2498","0.3151","0.4506","0.6837","0.5138","0.5428","0.6101","0.4495","0.8445","0.6117","0.2889","0.4276","0.3643","0.2242","0.3533","0.3921","0.1684","0.2175"
"Debt to Equity Ratio","4.811","0.9462","1.0394","1.2278","1.5807","2.038","2.2467","1.9946","3.0094","5.3815","1.8051","1.2431","1.1078","1.0357","0.9703","1.0321","0.9024","0.9398","0.9515","0.5448","0.8087","0.8762","0.6549","0.7084","0.7012","0.8329","0.6492","0.649","0.5934","0.6961","0.5484","0.4175","0.4618","0.6814","0.5193","0.5907","0.7442","0.8324","0.5406"
"Total Debt To Total Assets","0.5553","0.2796","0.2892","0.2836","0.2956","0.3378","0.3374","0.3198","0.3719","0.4314","0.3156","0.266","0.2664","0.2766","0.2698","0.2788","0.263","0.2763","0.2735","0.1723","0.2212","0.2422","0.19","0.2129","0.2174","0.246","0.2021","0.2058","0.1917","0.2308","0.1891","0.1598","0.1779","0.2443","0.1888","0.2026","0.2399","0.269","0.1988"
"Interest Coverage","8.508","12.9325","8.0089","13.1456","14.1908","9.4084","16.1953","33.4049","40.4088","16.6458","13.2548","30.5818","27.2141","11.1304","9.8092","26.1697","26.276","11.9976","8.9401","34.1143","33.0433","14.7675","14.4618","25.902","22.8793","9.8724","5.8511","23.5799","10.8424","6.139","10.02","31.5333","23.4143","5.1709","6.3912","18.5093","15.1274","7.3956","8.9086"
"Current Ratio","1.169","1.319","1.282","1.474","1.327","1.277","1.241","1.274","0.895","0.818","0.957","1.074","1.14","1.21","1.249","1.567","1.699","1.732","1.678","1.138","1.036","1.034","1.046","1.066","1.104","1.06","1.073","1.094","1.167","1.252","1.27","1.019","1.039","0.972","0.986","0.944","0.921","0.891","0.966"
"Income Quality","1.1103","0.9693","1.6847","1.1805","1.5131","-0.3764","2.7521","1.478","1.1547","-0.4191","1.5083","1.685","1.4229","-0.7199","2.6339","1.8095","1.5283","-0.7844","4.682","1.5627","1.5669","-1.5451","19.9182","1.8779","1.459","-2.242","3.1402","1.376","1.9387","-3.5524","3.7275","1.9932","2.3964","-3.0116","5.6542","1.8623","1.8833","-0.7766","3.0826"
"Payout Ratio","0.247","0.329","0.382","0.2","0.204","0.467","0.309","0.165","0.177","0.472","0.374","0.161","0.183","0.474","0.427","0.192","0.199","0.442","0.591","0.17","0.175","0.402","2.25","0.207","0.213","0.563","0.522","0.221","0.216","1.2","0.574","0.229","0.257","1.094","0.875","0.229","0.236","0.538","0.376"
