"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","58.786","55.857","55.249","57.035","56.0","53.818","52.578","52.876","52.353","50.504","51.199","50.136","50.722","49.401","46.765","46.132","44.41","45.935","45.444","43.927","41.331","41.57","39.967","40.035","39.923","38.555","35.887","35.441","32.403","31.157","29.351","27.237","26.129","32.065","29.626","30.32","34.881","27.855","29.312"
"Tangible Book Value per Share","614.382","601.318","612.228","639.565","629.27","591.363","591.369","589.599","698.781","659.642","639.196","632.231","640.544","576.653","539.054","471.431","484.258","461.849","466.147","416.13","400.562","370.793","430.049","408.83","366.523","328.526","307.31","332.099","310.658","298.608","307.036","317.919","317.542","314.319","387.905","647.891","347.173","381.147","352.78"
"FCF per Share","0.876","8.774","-0.318","-7.429","5.074","6.72","8.008","-1.222","-12.489","0.73","0.658","-3.384","-3.81","4.171","-3.621","2.608","-4.98","0.579","0.941","4.979","-3.623","1.109","6.305","4.623","-4.664","0.129","-0.553","-5.019","3.117","3.595","0.47","1.149","-5.354","-6.652","2.985","-6.849","2.832","-5.243","5.274"
"Interest Debt per Share","45.4401","43.4758","45.3441","45.3473","45.6312","40.6914","44.1569","57.9693","60.4713","57.4807","56.099","53.854","52.6876","51.7508","49.2273","51.0816","47.2604","52.6111","44.2834","41.708","42.9369","43.168","45.5859","68.778","61.2573","58.9562","62.7451","73.0419","78.288","78.063","89.3484","94.0475","99.6252","84.6432","79.4397","242.0208","63.3767","64.9556","62.9465"
"Cash per Share","177.874","182.8269","188.1176","212.6389","202.5624","172.1667","190.4218","177.1246","291.7448","209.9509","228.962","215.8711","244.5702","185.0188","154.8511","96.0394","111.1558","96.6994","116.1808","80.4797","77.3425","57.9286","125.846","93.6578","71.3981","45.472","51.5394","58.7882","51.6741","53.309","59.2921","65.8746","65.6094","88.9562","136.6375","181.4762","75.1512","59.7486","38.5296"
"Debt to Equity Ratio","0.773","0.7783","0.8207","0.7951","0.8148","0.7561","0.8398","1.0963","1.1551","1.1381","1.0957","1.0742","1.0388","1.0476","1.0527","1.1073","1.0642","1.1453","0.9745","0.9495","1.0389","1.0384","1.1406","1.7179","1.5344","1.5291","1.7484","2.061","2.4161","2.5055","3.0441","3.453","3.8128","2.6397","2.6814","7.9822","1.8169","2.3319","2.1474"
"Total Debt To Total Assets","0.0716","0.07","0.0718","0.0688","0.0704","0.0667","0.0724","0.0953","0.0843","0.0848","0.0853","0.0827","0.0798","0.0868","0.0882","0.1042","0.094","0.1095","0.0914","0.0963","0.103","0.1114","0.102","0.1617","0.1598","0.1707","0.1938","0.2093","0.2394","0.2508","0.2793","0.2842","0.3008","0.2574","0.1973","0.3652","0.1744","0.1633","0.1702"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","0.839","7.8677","0.0251","-5.3964","3.6923","8.9404","6.1773","-0.4731","-12.6581","1.0643","0.8799","-2.5166","-2.5017","5.3539","-3.1569","2.2335","-3.7531","0.8396","1.1389","3.7661","-3.5125","1.494","8.4879","4.2099","-4.4104","0.3283","-2.0864","-4.463","3.7447","3.6646","0.7751","1.1896","0.6853","-6.1461","6.7094","-5.9476","2.3102","-3.5396","9.6951"
