"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42280.0","42189.0","42098.0","42007.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40180.0","40089.0","39998.0","39907.0","39816.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","51.5","45.651","42.253","41.5","39.987","38.861","38.815","38.647","39.067","36.9","41.041","44.442","45.132","44.244","43.804","44.742","42.859","42.524","39.5","44.201","41.713","43.78","41.465","42.664","44.798","43.845","42.269","41.674","40.585","66.689","24.696","23.893","22.637","21.298","21.655","23.748","22.776","21.681","21.033"
"Tangible Book Value per Share","48.772","44.868","44.074","42.166","42.362","40.492","36.747","42.021","41.876","40.448","37.165","40.72","40.746","39.858","38.237","40.859","39.272","39.974","34.938","39.387","35.978","37.515","38.88","38.439","41.277","40.019","38.227","39.912","38.591","65.982","27.037","27.195","27.09","27.189","28.815","33.428","36.015","33.847","31.106"
"FCF per Share","0.898","-1.409","4.711","1.159","2.878","-1.083","4.654","1.169","1.668","-1.6","4.149","1.206","2.404","-1.346","4.102","0.07","0.672","-1.441","2.575","0.382","1.159","-0.57","2.591","0.591","0.663","0.3","1.623","0.924","1.142","-0.561","3.24","1.975","0.542","-0.229","1.711","1.312","0.699","1.043","2.263"
"Interest Debt per Share","29.4895","33.3963","25.3994","26.9397","28.7457","29.5208","25.3776","29.4995","28.7973","29.3214","24.5595","27.3865","27.7214","28.9574","27.0717","29.7788","30.4287","31.0931","20.9615","26.2237","23.9514","22.12","20.4402","23.1381","21.847","21.2963","20.6967","20.7892","18.9749","35.3448","17.1983","18.134","19.5179","20.206","20.4518","20.9446","21.138","20.4847","18.3121"
"Cash per Share","3.6084","2.5334","7.5109","2.8939","3.915","2.4145","3.1083","2.0101","2.6469","2.8619","3.1701","3.108","3.2991","2.7748","3.1968","3.0256","3.6224","3.584","4.2421","4.7211","3.5214","5.3704","5.3694","5.1642","11.3907","11.261","10.4983","9.8671","9.8153","15.4128","4.9825","2.5936","1.9703","1.616","2.6855","3.7978","4.8849","4.1023","2.9253"
"Debt to Equity Ratio","0.5726","0.7316","0.6011","0.6492","0.7189","0.7597","0.6538","0.7633","0.7371","0.7946","0.5984","0.6162","0.6142","0.6545","0.618","0.6656","0.71","0.7312","0.5307","0.5933","0.5742","0.5053","0.4929","0.5423","0.4877","0.4857","0.4896","0.4989","0.4675","0.53","0.6964","0.759","0.8622","0.9487","0.9444","0.882","0.9281","0.9448","0.8706"
"Total Debt To Total Assets","0.2283","0.267","0.2448","0.2492","0.265","0.2759","0.2512","0.2712","0.2665","0.2799","0.2427","0.2563","0.2555","0.2682","0.2541","0.2712","0.2825","0.2862","0.2233","0.2497","0.2404","0.2226","0.2165","0.2316","0.2291","0.2261","0.2269","0.2317","0.2208","0.2359","0.29","0.3019","0.326","0.3388","0.3311","0.3223","0.3281","0.3273","0.316"
"Interest Coverage","7.3875","10.2125","6.7201","7.5259","8.5891","6.389","7.8296","7.7345","7.6169","5.9009","5.1577","7.7816","7.7113","5.7596","2.0699","5.688","7.0985","3.2531","13.5297","4.4905","6.5896","5.472","4.5312","6.4511","7.6176","6.2421","5.2464","6.7534","1.3284","-4.5492","4.5733","6.0387","6.9383","4.0235","0.8811","9.017","5.35","5.0776","4.7793"
"Current Ratio","1.251","1.037","1.706","1.231","1.157","1.087","1.307","1.249","1.284","1.255","1.394","1.314","1.299","1.236","1.241","1.122","1.083","1.071","1.337","1.018","1.142","1.339","1.528","1.243","1.568","1.729","1.766","1.616","1.585","1.578","1.184","1.134","1.23","1.267","1.255","1.233","1.382","1.329","1.426"
"Income Quality","0.9253","-0.3704","3.2689","0.9912","1.8284","-0.4916","3.1194","1.045","1.3759","-1.2169","5.2236","1.0524","2.0194","-0.9389","13.0428","0.6","0.9845","-1.8187","1.114","1.3125","1.9328","-0.2652","3.3128","1.0084","0.9093","0.758","2.5537","1.6161","4.8253","0.3011","5.0935","2.9189","0.9799","0.0955","-276.7143","0.808","1.0691","1.6195","2.4874"
