"","42917.0","42826.0","42735.0","42644.0","42553.0","42455.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","4.459","4.321","4.542","5.439","6.188","7.007","6.953","8.892","8.837","8.944","9.045","9.046","8.979","8.929","9.078","8.848","8.756","8.745","8.349","8.327","7.983","8.327","7.997","7.862","7.992","7.208","6.829","6.762","6.473","6.791","6.632","6.279","5.842","5.645","5.513","5.82","5.668","5.44","5.476"
"Tangible Book Value per Share","23.97","24.23","23.519","23.414","25.597","19.555","19.313","18.806","26.668","26.693","26.738","19.435","18.776","18.841","18.697","18.602","17.858","18.169","17.911","18.168","17.649","17.339","16.583","16.414","16.378","15.849","14.782","15.231","14.642","14.716","14.401","14.718","14.421","14.649","13.97","14.578","14.267","14.033","13.9"
"FCF per Share","1.654","0.555","0.404","0.199","1.402","0.722","1.081","-0.639","1.005","0.475","0.358","-0.094","0.871","0.466","0.286","0.075","1.04","0.458","0.118","0.1","0.591","0.294","0.133","0.052","0.42","0.443","-0.198","0.143","0.457","0.238","-0.054","-0.112","0.786","0.488","0.671","-0.026","0.759","0.801","0.11"
"Interest Debt per Share","15.3426","15.906","15.3085","14.1502","13.2238","7.6999","7.6841","5.1755","12.3003","12.8436","12.8588","5.1203","4.6596","5.2265","5.1379","5.3268","4.8723","4.7495","5.2891","5.1367","5.1429","4.902","4.8752","4.3862","4.5327","4.5788","4.5498","4.2372","4.1954","4.175","4.1797","4.1881","4.1938","4.185","3.3125","3.2865","3.2924","3.3905","3.5239"
"Cash per Share","1.6279","1.5857","1.5543","1.3681","6.9704","1.0783","1.0507","0.6507","8.9008","8.8395","8.588","0.9355","0.9521","0.8516","1.0401","0.8804","0.9404","0.8093","0.7938","1.1802","1.3905","0.8377","0.7993","0.689","1.2744","0.85","0.5887","0.9816","1.2007","1.218","1.1872","1.5138","1.8839","1.6823","0.7809","0.7284","1.0709","0.5571","0.4346"
"Debt to Equity Ratio","3.441","3.6807","3.3704","2.6018","2.1369","1.0989","1.1052","0.5821","1.3919","1.436","1.4217","0.566","0.5189","0.5853","0.566","0.602","0.5564","0.5431","0.6335","0.6169","0.6443","0.5887","0.6096","0.5579","0.5671","0.6353","0.6663","0.6266","0.6481","0.6148","0.6303","0.667","0.7179","0.7414","0.6009","0.5647","0.5809","0.6233","0.6436"
"Total Debt To Total Assets","0.4615","0.4787","0.4733","0.436","0.4447","0.3267","0.3328","0.231","0.407","0.4252","0.4237","0.2216","0.208","0.2327","0.2304","0.24","0.2279","0.2211","0.249","0.2409","0.2487","0.2406","0.2495","0.2268","0.2344","0.2441","0.2577","0.2341","0.2405","0.2381","0.2428","0.2393","0.244","0.2436","0.2017","0.1924","0.1964","0.2053","0.2153"
"Interest Coverage","7.3605","5.4414","6.8494","7.7971","5.4575","6.6651","9.3225","4.0086","1.8896","4.8294","4.0658","15.1226","13.8355","10.2069","11.9523","15.8128","15.0682","9.955","11.9225","15.5909","18.9234","15.5913","15.1981","17.2725","18.7505","14.9953","15.621","16.3314","17.8814","15.5882","14.7037","14.7734","16.3366","14.4808","15.0383","19.2187","20.462","14.7832","15.8172"
"Current Ratio","1.318","1.453","1.586","1.516","2.267","1.693","1.751","1.77","1.223","2.655","2.673","1.567","1.53","1.739","1.798","1.724","1.699","1.743","1.766","1.758","1.777","1.6","1.731","1.592","1.604","1.734","1.788","1.681","1.687","1.777","1.851","1.759","1.688","1.677","1.494","1.567","1.479","1.423","1.494"
"Income Quality","3.7738","1.762","1.2947","0.7678","4.3779","2.3953","2.6812","-1.0698","9.517","2.306","2.4675","0.2246","2.5367","2.1549","1.3704","0.5926","2.6575","1.85","0.7841","0.7439","1.6034","1.4247","1.1322","0.8437","1.266","1.4822","0.2164","0.7583","1.2105","1.333","0.3906","0.1275","1.8776","1.8702","2.0971","0.2289","1.7291","2.4563","0.7917"
"Payout Ratio","0.579","0.75","0.62","0.0","1.59","0.816","0.625","0.732","2.5","1.0","1.074","0.617","0.674","0.935","0.778","0.571","0.596","0.824","0.711","0.551","0.509","0.614","0.605","0.0","0.456","1.182","0.0","0.49","0.877","0.595","0.533","0.436","0.453","0.632","0.55","0.478","0.393","0.55","0.442"
"Intangible Assets out of Total Assets","0.279","0.2708","0.2728","0.2785","0.1393","0.1703","0.1636","0.1608","0.1175","0.1163","0.1191","0.159","0.1619","0.161","0.1617","0.1617","0.1648","0.1543","0.1568","0.1478","0.1466","0.1488","0.1513","0.1511","0.1531","0.1551","0.1628","0.1585","0.1606","0.1609","0.1636","0.159","0.1608","0.1472","0.1492","0.1463","0.1489","0.1503","0.1506"
"Selling, General and Administrative Expense of Revenue","0.1527","0.1551","0.1545","0.1521","0.1433","0.1471","0.1419","0.1389","0.1693","0.1473","0.1464","0.1385","0.1409","0.1474","0.1435","0.1355","0.139","0.1469","0.1454","0.1399","0.1448","0.1364","0.1385","0.1359","0.1337","0.1439","0.1411","0.1374","0.1429","0.1399","0.139","0.1376","0.1345","0.1409","0.1452","0.1399","0.138","0.144","0.1427"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1937552000.0","2595751000.0","2958920000.0","2768920000.0","5619443000.0","2847961000.0","2906812000.0","3057144000.0","2094689000.0","7181451000.0","7170951000.0","2571914000.0","2314342000.0","2828840000.0","2902499000.0","2751106000.0","2559064000.0","2718678000.0","2672368000.0","2730776000.0","2661229000.0","2221190000.0","2384280000.0","2117544000.0","2157807000.0","2302107000.0","2145348000.0","2143390000.0","2067060000.0","2214563000.0","2305768000.0","2279556000.0","2120525000.0","2110176000.0","1626499000.0","1925262000.0","1675690000.0","1450301000.0","1615797000.0"
"Tangible Asset Value","12803016000.0","13067048000.0","12820784000.0","13005248000.0","14392682000.0","11077893000.0","10948458000.0","11221620000.0","15874655000.0","15856483000.0","15794816000.0","11433184000.0","11013214000.0","11038540000.0","10923922000.0","10931040000.0","10588254000.0","10703998000.0","10515314000.0","10678198000.0","10358025000.0","10157519000.0","9720554000.0","9716996000.0","9642328000.0","9251689000.0","8646664000.0","8966745000.0","8657488000.0","8728744000.0","8534663000.0","8706642000.0","8516302000.0","8645048000.0","8347656000.0","8779886000.0","8581541000.0","8464043000.0","8453437000.0"
"Net Current Asset Value","-7341701000.0","-7264811000.0","-7142821000.0","-6868554000.0","-3188297000.0","-2421630000.0","-2369015000.0","-1037906000.0","-1234753000.0","-1109955000.0","-1129945000.0","-1164214000.0","-1192446000.0","-1267414000.0","-1188379000.0","-1291991000.0","-1264710000.0","-1129267000.0","-1409944000.0","-1302237000.0","-1367359000.0","-1130391000.0","-1118362000.0","-1096374000.0","-947431000.0","-1304172000.0","-1466910000.0","-1385004000.0","-1409917000.0","-1308394000.0","-1257168000.0","-1353532000.0","-1496238000.0","-1579607000.0","-1597702000.0","-1456123000.0","-1498274000.0","-1799540000.0","-1738284000.0"
"Invested Capital","14032518000.0","15060089000.0","15266394000.0","14738369000.0","13474328000.0","10716878000.0","10836612000.0","9950782000.0","8498599000.0","13895195000.0","14031740000.0","9358536000.0","8820208000.0","9772685000.0","9681290000.0","9746387000.0","9256936000.0","9368455000.0","9667059000.0","9400791000.0","9136689000.0","8834715000.0","8845984000.0","8327097000.0","7985495000.0","8291845000.0","8242192000.0","7737301000.0","7418991000.0","7631340000.0","7597201000.0","7283650000.0","6798721000.0","7005897000.0","6567191000.0","6922062000.0","6418390000.0","6742842000.0","7063560000.0"
"Average Receivables","3696682000.0","3895738000.0","3658455500.0","3861282500.0","3367176000.0","3502846000.0","3441725000.0","3588961000.0","3376047000.0","3503386000.0","3409963500.0","3534984500.0","3290913500.0","3453684000.0","3229025000.0","3308270500.0","3074869000.0","3245512500.0","3025425000.0","3127267000.0","2932453500.0","3010104000.0","2753015000.0","2938051500.0","2757817500.0","2780014000.0","2574672000.0","2695125500.0","2542931500.0","2591882000.0","2574776500.0","2724397500.0","2595850000.0","2643616500.0","2688924000.0","2819357500.0","2667037000.0","2685868500.0","2652726500.0"
"Average Payables","3453547000.0","3378160500.0","3130011500.0","3302190000.0","2908967500.0","2871540500.0","2754208000.0","2906140000.0","2856490500.0","2781428500.0","2620825500.0","2700003000.0","2629621500.0","2579368000.0","2346836000.0","2391885000.0","2318842000.0","2359026500.0","2162182000.0","2236438000.0","2196443000.0","2214481500.0","1939543000.0","2081838500.0","2068254500.0","2058101500.0","1819357000.0","1941035000.0","1870773000.0","1901708000.0","1770677500.0","1967100000.0","1918606500.0","1931815000.0","1853875000.0","2065121500.0","2014974500.0","2007662000.0","1944298500.0"
"Average Inventory","2817386000.0","2823981000.0","2883965000.0","2933586000.0","2665498500.0","2676693500.0","2764097500.0","2843501000.0","2646920500.0","2588826000.0","2649197000.0","2693142000.0","2499103000.0","2470545000.0","2471345000.0","2455753500.0","2287509000.0","2331825000.0","2324631000.0","2254157500.0","2126298000.0","2148915500.0","2088275000.0","2006346500.0","1922652500.0","1899305000.0","1876862000.0","1811507500.0","1711102500.0","1730745000.0","1826257000.0","1840738000.0","1743572000.0","1773467000.0","1879372000.0","1899529000.0","1775332500.0","1764883500.0","1807267500.0"
