"","42917.0","42826.0","42735.0","42643.0","42553.0","42462.0","42371.0","42277.0","42182.0","42091.0","42000.0","41912.0","41818.0","41727.0","41636.0","41547.0","41454.0","41363.0","41272.0","41182.0","41090.0","40999.0","40908.0","40816.0","40726.0","40635.0","40544.0","40451.0","40362.0","40271.0","40180.0","40086.0","39991.0","39900.0","39809.0","39721.0","39627.0","39536.0","39445.0"
"Book Value per Share","-34.532","-36.476","-33.165","-11.667","-14.476","-17.134","-16.975","-18.342","-20.651","-23.43","-25.883","-27.425","-27.838","-2.201","-4.109","-5.911","14.709","12.586","10.998","22.62","20.538","18.465","16.463","15.205","13.787","12.507","11.181","11.205","10.125","9.187","8.342","15.573","14.613","13.702","13.905","12.551","12.773","11.669","10.998"
"Tangible Book Value per Share","50.341","48.289","46.255","58.785","58.311","36.849","38.008","36.706","42.1","31.91","38.827","35.506","33.99","28.388","26.752","28.387","23.77","28.619","25.877","24.136","21.601","19.891","19.592","20.429","22.513","21.913","16.769","13.336","13.299","11.908","11.293","11.772","11.659","10.673","11.303","10.458","11.904","11.729","11.194"
"FCF per Share","2.687","2.649","3.609","3.77","3.36","1.711","2.966","2.348","3.06","-0.369","3.195","3.225","2.122","1.668","1.888","3.361","1.145","1.681","1.642","2.729","1.592","1.716","1.176","2.091","0.189","1.155","1.109","0.737","1.294","0.393","1.061","1.219","0.881","0.176","1.327","0.693","1.428","0.34","1.225"
"Interest Debt per Share","202.0818","198.6484","191.4221","182.5894","182.793","148.4892","146.8607","147.496","149.2555","133.1806","132.0551","131.706","131.0253","100.2922","100.5639","100.707","79.6059","79.7844","79.3184","67.1676","67.2627","67.3578","58.1734","58.8449","58.9176","58.9902","59.6573","33.4759","33.466","33.4567","33.4803","25.793","25.9025","25.9023","27.9224","26.0515","28.2287","28.5152","28.7529"
"Cash per Share","17.6818","17.6296","17.2026","28.4209","29.852","10.9028","14.1764","12.6134","16.17","6.9345","17.8761","14.4437","12.7538","8.3355","7.2103","9.9234","4.9384","12.4883","10.1818","8.1757","5.6182","3.7393","6.6794","7.0535","10.2985","9.4751","4.3937","4.4236","4.8824","3.5401","3.0633","3.6152","3.8876","2.9512","3.072","3.0531","3.9346","4.0749","3.6066"
"Debt to Equity Ratio","-5.8521","-5.4461","-5.7718","-15.6497","-12.6269","-8.6662","-8.6515","-8.0416","-7.2274","-5.6843","-5.102","-4.8025","-4.7067","-45.5586","-24.4734","-17.0379","5.4121","6.3389","7.2124","2.9693","3.275","3.6479","3.5336","3.87","4.2733","4.7166","5.3356","2.9877","3.3053","3.6416","4.0137","1.6563","1.7726","1.8904","2.0081","2.0756","2.2101","2.4436","2.6143"
"Total Debt To Total Assets","1.0752","1.0899","1.078","0.9505","0.9655","0.9971","1.0015","1.0055","1.0118","1.0432","1.0809","1.106","1.1162","0.8944","0.9108","0.9321","0.7465","0.763","0.7783","0.6629","0.6831","0.698","0.6896","0.6953","0.7166","0.7172","0.7552","0.6616","0.677","0.6956","0.7066","0.5528","0.5718","0.5837","0.585","0.6017","0.6108","0.6355","0.6441"
"Interest Coverage","2.5442","2.4543","1.2942","2.496","2.6073","2.8042","2.4382","2.7646","2.2991","2.5684","2.3986","2.6048","-0.0275","2.5885","2.5539","1.3617","2.2211","2.5561","2.1426","3.4707","3.3554","3.3887","2.8937","2.9862","2.7483","2.4145","0.5714","3.8132","3.376","3.0991","1.6181","4.222","4.0138","3.9175","3.7707","3.6392","3.5891","3.0304","2.7302"
"Current Ratio","3.267","3.167","3.198","3.894","4.031","2.601","2.835","2.717","2.986","2.392","2.909","2.884","2.945","3.768","3.606","4.095","4.043","5.121","4.944","4.491","4.992","3.876","5.099","4.207","6.441","4.427","4.02","5.163","5.102","5.502","4.62","4.96","5.945","5.403","3.603","4.784","5.013","7.069","5.202"
"Income Quality","0.9743","1.0592","9.8599","1.1675","1.2159","0.7638","1.4131","1.0412","1.9222","-0.0545","2.0502","1.7724","-1.3623","1.2346","1.4113","-18.2871","1.8032","1.4598","2.7224","1.7761","1.0267","1.1878","1.1017","1.7411","0.2468","1.2004","-6.1115","0.8303","1.6233","0.637","133.9258","1.6365","1.196","0.3299","1.6723","1.0454","1.993","0.5578","2.2333"
