"","42916.0","42825.0","42734.0","42643.0","42545.0","42454.0","42363.0","42272.0","42181.0","42090.0","41999.0","41908.0","41817.0","41726.0","41635.0","41544.0","41453.0","41362.0","41271.0","41180.0","41089.0","40998.0","40907.0","40816.0","40718.0","40627.0","40536.0","40445.0","40354.0","40263.0","40172.0","40081.0","39990.0","39899.0","39808.0","39717.0","39626.0","39535.0","39444.0"
"Book Value per Share","25.749","24.587","24.823","23.768","23.151","20.346","22.278","24.023","22.485","22.086","22.516","21.968","21.619","20.471","20.964","20.193","18.993","18.398","19.263","18.844","18.07","17.972","17.838","17.422","17.359","16.56","16.545","15.874","15.078","14.871","15.266","15.165","15.439","15.439","22.895","23.51","24.249","23.807","23.042"
"Tangible Book Value per Share","31.589","30.635","29.36","28.675","29.291","32.234","34.036","35.614","34.49","33.86","31.167","37.412","32.626","31.893","31.333","31.063","30.222","29.929","29.59","32.26","30.981","35.457","31.332","32.177","31.485","31.169","30.833","30.155","28.639","28.403","27.76","26.95","27.784","28.214","27.795","30.567","30.115","30.337","34.758"
"FCF per Share","1.025","1.028","0.781","1.347","1.597","0.066","0.655","1.143","1.148","0.597","0.405","1.617","0.831","0.756","0.642","1.029","1.137","0.762","0.635","1.359","0.925","0.899","0.193","1.009","0.78","1.018","0.101","0.797","0.627","0.923","0.558","1.056","0.592","0.727","-0.17","1.015","0.519","-1.185","0.546"
"Interest Debt per Share","11.2423","11.1011","11.3146","11.4006","11.3053","10.6703","10.0519","9.7343","9.9163","10.1376","10.3759","9.4098","7.335","7.3049","7.2944","7.2627","7.2723","7.2143","7.1991","8.773","8.7827","9.3021","6.6965","6.2168","6.0755","6.1941","7.241","5.4347","5.3548","5.2823","5.2614","5.2316","5.631","6.3646","6.5773","6.7537","6.6778","6.5741","6.621"
"Cash per Share","2.1268","2.1713","1.868","1.8123","1.944","3.1593","5.774","8.3434","1.7266","1.7125","2.1327","5.9927","3.9438","3.4854","3.399","3.3807","3.041","2.5548","2.3033","3.7565","3.0421","6.7119","3.2706","2.8392","2.7735","2.7968","3.1689","4.482","4.0244","4.0241","3.6928","3.2922","2.7467","1.5764","1.1874","2.3142","1.5272","1.5391","1.8468"
"Debt to Equity Ratio","0.4366","0.4515","0.4558","0.4797","0.4883","0.5244","0.4512","0.4052","0.441","0.459","0.4608","0.4283","0.3393","0.3568","0.348","0.3597","0.3829","0.3921","0.3737","0.4656","0.486","0.5176","0.3754","0.3568","0.35","0.374","0.4377","0.3424","0.3551","0.3552","0.3447","0.345","0.3647","0.4122","0.2873","0.2873","0.2754","0.2761","0.2873"
"Total Debt To Total Assets","0.2155","0.2189","0.2287","0.2311","0.2306","0.2177","0.2013","0.1886","0.197","0.2038","0.2095","0.1914","0.159","0.1608","0.1626","0.1633","0.1668","0.167","0.1675","0.1922","0.1984","0.2087","0.1624","0.1505","0.1472","0.1518","0.1776","0.142","0.1466","0.1458","0.1483","0.1509","0.1583","0.1733","0.1491","0.1473","0.1443","0.1422","0.1315"
"Interest Coverage","16.8125","14.875","15.9355","15.3824","-4.8065","16.9375","14.7","41.375","13.3939","19.7297","11.6765","15.0588","19.0357","16.5484","15.1176","14.0323","12.8889","10.6286","1.8649","9.4","6.9792","8.9091","9.9231","10.6818","11.8974","9.5581","11.8","11.625","13.4737","12.5526","7.1795","3.35","-0.6905","-92.4634","0.4524","4.4565","12.8409","10.6327","23.08"
"Current Ratio","1.383","1.308","1.369","1.557","1.489","1.748","1.992","2.206","1.914","1.838","1.56","2.224","1.781","1.607","1.865","1.608","1.503","1.503","1.849","1.624","1.58","1.901","1.722","2.047","1.859","1.798","1.755","1.945","1.898","1.863","2.108","2.133","2.117","1.955","2.138","2.254","2.087","1.998","1.585"
"Income Quality","1.2023","1.2864","0.9878","1.5652","0.8558","0.4079","1.1048","0.6","1.9288","0.6644","0.625","1.1297","1.2407","1.2403","1.0907","1.5323","1.8388","1.6065","1.4152","1.8005","2.5377","2.0311","0.7962","1.9325","1.2338","1.8629","0.5811","1.596","1.1364","1.6447","1.9186","5.956","-4.2857","-0.1309","-0.8919","5.9626","1.2242","-1.4817","0.4141"
"Payout Ratio","0.0","0.325","0.322","0.301","0.157","0.317","0.359","0.127","0.434","0.197","0.25","0.18","7.364","0.284","0.291","0.269","0.309","0.318","0.318","0.226","0.457","0.3","0.295","0.237","0.222","0.239","0.267","0.242","0.219","0.239","0.432","0.727","-0.941","-0.023","-2.0","0.56","0.203","0.226","0.0"
"Intangible Assets out of Total Assets","0.3945","0.396","0.4066","0.4186","0.4025","0.3424","0.3183","0.3098","0.315","0.3192","0.3706","0.2388","0.2929","0.298","0.3017","0.3017","0.3067","0.3071","0.3115","0.2932","0.3","0.2044","0.2401","0.2211","0.237","0.2363","0.2437","0.212","0.2157","0.2158","0.2175","0.2227","0.2189","0.2317","0.3699","0.3335","0.3491","0.344","0.3095"
"Selling, General and Administrative Expense of Revenue","0.1224","0.1277","0.1214","0.1167","0.1176","0.1243","0.12","0.1119","0.126","0.1269","0.1266","0.1237","0.1288","0.1279","0.1404","0.0765","0.1322","0.1342","0.1366","0.1344","0.1209","0.1314","0.1208","0.1244","0.1232","0.1291","0.1256","0.1241","0.1216","0.1373","0.1272","0.1253","0.1316","0.1408","0.1515","0.1107","0.1081","0.115","0.1121"
"Research and Development Expense of Revenue","0.0505","0.0502","0.0516","0.0495","0.0516","0.0528","0.0572","0.0496","0.051","0.0519","0.0525","0.0488","0.0478","0.0489","0.0493","0.0525","0.0484","0.0524","0.0546","0.049","0.0494","0.0532","0.0558","0.0517","0.0497","0.0518","0.0509","0.0495","0.0477","0.048","0.0477","0.0486","0.0518","0.0561","0.0531","0.0433","0.0402","0.0","0.0"
