"","42945.0","42854.0","42763.0","42672.0","42581.0","42490.0","42399.0","42308.0","42217.0","42126.0","42035.0","41944.0","41853.0","41762.0","41671.0","41580.0","41489.0","41398.0","41307.0","41209.0","41118.0","41027.0","40936.0","40845.0","40754.0","40663.0","40572.0","40481.0","40390.0","40299.0","40208.0","40117.0","40026.0","39935.0","39844.0","39746.0","39655.0","39564.0","39473.0","39382.0"
"Book Value per Share","7.105","7.066","6.88","6.625","6.764","6.855","6.474","6.482","6.325","6.297","6.222","6.292","6.158","6.11","5.929","5.795","5.379","5.229","4.997","4.738","4.601","4.489","4.276","4.22","4.066","4.025","3.957","3.858","3.683","3.724","3.458","3.487","3.34","2.831","2.547","2.549","2.508","2.512","2.405","2.438"
"Tangible Book Value per Share","19.93","19.502","19.352","19.161","17.436","17.397","16.98","17.161","16.11","15.992","15.582","16.229","15.284","14.433","13.859","14.553","13.43","13.241","12.535","12.291","11.477","11.214","10.795","11.072","10.367","10.058","9.947","9.929","9.297","9.281","8.717","9.253","9.031","8.192","7.157","7.922","7.848","7.595","7.243","7.694"
"FCF per Share","0.636","0.295","1.917","1.025","0.754","0.271","1.566","0.718","0.41","0.361","1.426","0.657","0.538","0.413","1.093","0.787","0.38","0.059","1.054","0.595","0.568","0.607","1.243","0.389","-0.04","-0.107","0.907","0.273","-0.049","0.464","1.044","0.509","0.291","0.357","0.343","0.089","0.067","0.179","0.763","0.187"
"Interest Debt per Share","3.4877","3.4579","3.3976","3.4074","2.4554","2.4421","2.4276","2.4056","2.3874","2.3681","2.3694","2.336","2.339","1.8177","1.7859","1.7906","1.7803","1.7708","1.0558","1.0587","1.067","1.0602","1.0494","1.0451","1.033","1.0176","1.0088","0.9813","0.9802","0.9704","0.9485","1.178","1.4302","1.3773","0.9292","1.0494","1.0138","1.0038","0.9654","0.9814"
"Cash per Share","3.8323","4.1424","4.4686","3.6348","2.7406","2.9389","3.1498","2.5677","2.8262","3.3168","3.6388","3.0981","3.145","2.9375","3.0131","2.8257","2.5972","2.7655","2.47","2.2444","2.1992","2.1067","2.0082","1.2687","1.2803","1.7748","2.2235","1.6615","1.7094","2.2464","1.9323","1.7143","1.6831","1.2271","0.5411","0.4643","0.6142","0.8201","0.8268","0.4418"
"Debt to Equity Ratio","0.4909","0.4894","0.4939","0.5143","0.363","0.3562","0.375","0.3711","0.3775","0.3761","0.3808","0.3713","0.3799","0.2975","0.3012","0.309","0.3309","0.3386","0.2113","0.2234","0.2319","0.2362","0.2454","0.2476","0.2541","0.2528","0.2549","0.2543","0.2661","0.2606","0.2743","0.3378","0.4282","0.4866","0.3649","0.4117","0.4041","0.3997","0.4014","0.4026"
"Total Debt To Total Assets","0.1723","0.1746","0.1729","0.1731","0.1385","0.138","0.1406","0.1361","0.1441","0.144","0.1478","0.1401","0.1487","0.1222","0.1249","0.1194","0.1284","0.1295","0.0814","0.0844","0.091","0.0925","0.0951","0.0924","0.0974","0.0989","0.0991","0.0967","0.103","0.1021","0.1062","0.1244","0.1547","0.1638","0.1261","0.129","0.1258","0.1286","0.1296","0.1242"
"Interest Coverage","93.1463","85.5959","114.7333","72.4037","82.2096","81.9269","98.218","73.3714","82.9943","66.822","115.3785","96.5279","75.4949","77.1366","125.6219","94.8397","87.6068","139.5621","191.0112","123.9215","75.3618","78.1955","84.6268","78.6227","62.4159","49.1828","59.8232","63.7356","49.3204","53.5682","58.5983","45.6905","45.6644","52.3892","89.0837","74.4061","124.2582","175.672","-417.886","132.5169"
"Current Ratio","1.625","1.639","1.629","1.623","1.579","1.601","1.538","1.528","1.603","1.626","1.674","1.63","1.724","1.683","1.725","1.638","1.728","1.708","1.519","1.582","1.656","1.66","1.675","1.603","1.576","1.615","1.628","1.64","1.664","1.694","1.659","1.642","1.614","1.324","1.31","1.322","1.396","1.436","1.446","1.368"
