"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","43.198","40.292","38.488","42.468","40.429","36.216","32.884","34.235","34.146","38.421","36.515","34.687","34.232","31.534","27.843","27.493","27.552","30.641","30.632","30.111","27.069","25.513","25.241","26.538","22.09","22.582","22.297","23.467","21.249","19.727","18.248","17.809","14.09","10.39","11.619","12.437","14.717","15.047","16.03"
"Tangible Book Value per Share","189.228","183.808","176.936","180.644","175.154","166.408","157.395","157.276","155.258","159.353","154.153","148.779","145.845","140.193","130.872","128.816","127.583","131.24","128.763","122.594","113.677","108.714","105.888","105.15","92.454","90.849","87.512","95.237","89.014","86.794","83.896","82.87","76.734","67.433","68.499","68.919","70.872","71.08","71.445"
"FCF per Share","2.344","3.879","3.471","3.036","2.166","2.778","3.112","2.071","1.32","2.153","1.742","1.689","1.06","2.031","2.517","2.014","1.448","2.062","1.716","1.743","1.09","1.887","1.13","1.461","0.904","1.707","1.54","1.482","0.914","1.625","2.071","1.218","0.756","1.138","0.604","0.961","0.934","1.117","0.908"
"Interest Debt per Share","12.293","12.3964","11.7789","11.6929","11.769","10.7296","10.0045","10.884","10.9443","9.8451","9.5654","9.8188","9.6148","9.4561","8.9946","8.8698","9.6531","9.6728","9.1908","8.9799","7.5222","6.7587","6.6406","6.4456","5.7849","5.6483","5.4881","5.3794","5.3304","5.3445","5.5263","5.5291","6.0847","4.5861","4.7185","4.3015","3.5766","4.1002","3.8576"
"Cash per Share","0.8348","0.5244","0.6419","0.8759","0.4118","0.1052","0.4977","0.4754","0.4984","0.0243","0.5132","0.513","0.3477","0.3012","0.2724","0.2824","0.3239","0.1798","0.4334","2.0883","0.4785","0.521","0.5501","1.1163","0.5273","1.618","2.0302","0.1664","0.147","0.2143","1.2405","0.9214","1.8243","0.2455","0.2425","0.084","0.0902","0.0388","0.0969"
"Debt to Equity Ratio","0.2846","0.3077","0.306","0.2753","0.2911","0.2963","0.3042","0.3179","0.3205","0.2562","0.262","0.2831","0.2809","0.2999","0.323","0.3226","0.3504","0.3157","0.3","0.2982","0.2779","0.2649","0.2631","0.2429","0.2619","0.2501","0.2461","0.2292","0.2509","0.2709","0.3029","0.3105","0.4318","0.4414","0.4061","0.3459","0.243","0.2725","0.2406"
"Total Debt To Total Assets","0.0637","0.0661","0.0652","0.0634","0.0658","0.0631","0.0621","0.0677","0.0689","0.0605","0.0607","0.0645","0.0644","0.0659","0.0671","0.0672","0.0738","0.072","0.0697","0.0716","0.0646","0.0607","0.0612","0.0599","0.061","0.0607","0.0612","0.0552","0.0584","0.06","0.0642","0.0649","0.077","0.0658","0.0667","0.0605","0.049","0.0561","0.0525"
"Interest Coverage","10.5404","10.0876","10.11","11.3734","9.5884","10.5982","10.8743","11.9393","11.0087","10.7244","12.1086","11.3531","11.1808","11.37","12.5244","10.6996","10.256","9.2896","11.3324","10.5142","10.4855","9.6541","10.069","10.7523","11.7698","8.5497","11.1809","10.8322","10.9363","10.523","9.8505","8.177","11.754","9.0628","11.8948","7.8118","13.4582","12.0333","13.287"
"Income Quality","1.984","3.4503","3.1509","2.4165","1.9085","2.7472","2.9345","1.8968","1.372","2.2995","1.5013","1.6994","1.104","2.0688","2.4376","2.1081","1.5104","2.4272","1.6238","1.9173","1.2643","2.3934","1.4245","1.7637","1.0694","2.9962","2.0763","2.3583","1.3612","2.4925","3.418","2.2658","1.2441","2.847","0.8507","3.0169","1.424","1.9711","1.474"
"Payout Ratio","0.127","0.261","0.126","0.0","0.124","0.277","0.0","0.122","0.14","0.147","0.231","0.0","0.25","0.0","0.228","0.113","0.113","0.118","0.094","0.11","0.112","0.101","0.099","0.0","0.081","0.246","0.0","0.111","0.103","0.2","0.0","0.222","0.098","0.0","0.169","0.188","0.091","0.103","0.094"
"Intangible Assets out of Total Assets","0.0196","0.02","0.0206","0.02","0.0205","0.0214","0.0222","0.0219","0.0221","0.0213","0.0218","0.0222","0.0225","0.0232","0.0243","0.0243","0.0243","0.0234","0.0235","0.0221","0.0231","0.0237","0.0239","0.0234","0.0245","0.0243","0.0246","0.0224","0.025","0.0255","0.0248","0.0267","0.0288","0.032","0.0313","0.0304","0.0287","0.0283","0.0278"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
