"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42369.0","42273.0","42182.0","42091.0","42004.0","41909.0","41818.0","41727.0","41639.0","41545.0","41454.0","41363.0","41274.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40543.0","40453.0","40362.0","40271.0","40178.0","40082.0","39991.0","39900.0","39813.0","39718.0","39627.0","39536.0","39447.0"
"Book Value per Share","57.414","55.742","54.557","54.874","53.983","52.866","53.429","52.256","51.907","50.062","51.332","51.289","51.724","51.947","46.59","45.507","43.897","43.562","43.149","42.169","41.129","41.625","40.284","40.042","41.02","39.256","39.017","38.424","37.491","37.793","37.747","37.753","36.302","35.893","35.692","36.123","36.053","35.415","34.373"
"Tangible Book Value per Share","28.443","27.702","26.876","30.171","25.043","25.473","23.144","23.523","24.056","23.886","24.73","22.37","23.166","27.022","33.966","23.613","21.97","20.681","19.993","19.779","18.569","19.056","18.871","18.258","18.461","21.965","16.358","15.135","14.971","15.325","15.423","15.901","14.752","14.698","14.321","14.639","14.384","13.626","12.66"
"FCF per Share","1.953","0.688","2.724","1.754","2.068","0.57","2.776","1.615","1.695","-0.042","2.065","1.481","2.059","0.0","1.766","1.278","1.148","0.657","1.554","1.125","1.214","0.89","1.496","0.793","0.794","0.71","0.933","0.927","0.559","0.72","1.145","0.848","0.837","0.744","0.864","0.774","0.708","0.454","1.144"
"Interest Debt per Share","43.0669","43.6593","42.1173","47.9161","35.9172","37.9889","31.2112","33.3632","35.1995","37.3474","36.3827","36.2018","39.0013","44.1459","28.9865","19.6885","19.7622","19.8782","19.8781","20.6076","17.7986","18.1737","18.8267","18.7982","10.5454","11.0659","5.4282","5.3956","5.2128","5.0586","5.3364","4.9578","4.896","4.852","4.8254","5.2072","5.2388","5.2616","5.2081"
"Cash per Share","1.5667","1.8243","1.9914","4.9911","1.6834","2.0889","1.1314","1.2617","1.9287","2.1735","3.3562","1.3361","1.4644","3.8068","16.1028","5.1096","3.9136","2.804","2.2478","2.2951","1.9954","2.1462","2.7225","2.346","3.5509","7.1763","2.3294","2.3214","3.1942","3.4954","3.8261","4.2797","3.413","3.7374","3.0619","2.9601","2.4089","1.7581","1.483"
"Debt to Equity Ratio","0.7501","0.7832","0.772","0.8732","0.6653","0.7186","0.5842","0.6385","0.6781","0.746","0.7088","0.7058","0.754","0.8498","0.6222","0.4326","0.4502","0.4563","0.4607","0.4887","0.4327","0.4366","0.4673","0.4695","0.2571","0.2819","0.1391","0.1404","0.139","0.1339","0.1414","0.1313","0.1349","0.1352","0.1352","0.1442","0.1453","0.1486","0.1515"
"Total Debt To Total Assets","0.3611","0.3694","0.3622","0.3939","0.3348","0.3501","0.3054","0.3235","0.3357","0.3549","0.3399","0.3391","0.3515","0.3764","0.3291","0.2515","0.2575","0.2597","0.2596","0.271","0.2478","0.2489","0.2619","0.2643","0.1673","0.1835","0.1001","0.1004","0.1003","0.0958","0.1009","0.0944","0.0961","0.0964","0.0957","0.101","0.101","0.1022","0.1035"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.468","1.367","1.443","1.56","1.145","1.034","1.385","1.051","1.022","0.901","1.222","0.919","0.953","1.355","3.161","2.532","2.388","2.23","2.31","1.961","1.726","1.676","1.549","1.695","2.755","1.493","2.418","2.356","2.691","2.55","2.764","3.01","2.932","3.014","2.822","2.415","2.287","2.089","1.927"
"Income Quality","1.3872","0.6556","1.9156","1.63","1.7685","0.8322","2.038","1.5625","1.4951","0.2077","1.5863","1.4334","3.191","0.1863","2.1295","1.5916","1.7246","0.8873","1.7537","1.6525","2.1707","1.4136","2.2049","1.3591","0.6777","1.3426","1.4729","1.6119","1.1955","1.477","1.9707","1.7477","1.8139","2.409","1.6038","1.6983","1.408","1.0579","2.3571"
"Payout Ratio","0.096","0.106","0.094","0.125","0.115","0.147","0.099","0.126","0.117","0.155","0.099","0.127","0.214","0.109","0.16","0.17","0.195","0.16","0.143","0.163","0.203","0.171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.7615","0.7656","0.7689","0.752","0.7665","0.7653","0.7735","0.7719","0.7706","0.773","0.769","0.7905","0.7912","0.7696","0.6143","0.6983","0.7137","0.7298","0.7389","0.7399","0.7415","0.7391","0.7375","0.7433","0.7071","0.6357","0.6984","0.7184","0.7121","0.7097","0.7084","0.6972","0.7104","0.7081","0.716","0.716","0.7227","0.7354","0.7484"
"Selling, General and Administrative Expense of Revenue","0.258","0.2794","0.2555","0.2838","0.2697","0.2824","0.2559","0.2749","0.2695","0.2902","0.2752","0.2946","0.2901","0.3015","0.2592","0.2658","0.2684","0.2599","0.2628","0.2719","0.2687","0.2697","0.267","0.2743","0.2708","0.2604","0.2676","0.2575","0.2594","0.2658","0.2441","0.2616","0.2661","0.2771","0.2505","0.2586","0.2579","0.2588","0.2578"
"Research and Development Expense of Revenue","0.0444","0.0452","0.0429","0.0408","0.0402","0.0411","0.0388","0.0416","0.0409","0.0423","0.0406","0.042","0.0425","0.0384","0.0302","0.03","0.0298","0.0308","0.0302","0.0298","0.0303","0.03","0.0309","0.0296","0.0292","0.0275","0.0304","0.0272","0.0268","0.0252","0.0254","0.0239","0.0234","0.0258","0.023","0.0239","0.0238","0.0243","0.0234"
"Working Capital","2376700000.0","1945200000.0","2155200000.0","2944500000.0","802800000.0","216200000.0","1594900000.0","290800000.0","136200000.0","-680500000.0","1190000000.0","-502200000.0","-291200000.0","1914600000.0","6754700000.0","3757400000.0","3278600000.0","2833300000.0","2741500000.0","2424800000.0","1963800000.0","1924100000.0","1708800000.0","1942100000.0","3187900000.0","2043300000.0","2425200000.0","2400400000.0","2732000000.0","2752900000.0","2891600000.0","3203800000.0","2943400000.0","3019800000.0","2805700000.0","2603000000.0","2419400000.0","2079600000.0","1763700000.0"
"Tangible Asset Value","11092600000.0","10831600000.0","10610700000.0","11908300000.0","9864400000.0","10082400000.0","9248400000.0","9385700000.0","9583800000.0","9501900000.0","9899400000.0","8945700000.0","9252500000.0","10627800000.0","12288800000.0","8529000000.0","7909100000.0","7405700000.0","7165600000.0","7172000000.0","6815000000.0","6999100000.0","7044500000.0","6929100000.0","7050400000.0","8535600000.0","6440000000.0","6064500000.0","6127800000.0","6277300000.0","6305100000.0","6485900000.0","6126500000.0","6139300000.0","5989100000.0","6133600000.0","6012500000.0","5688900000.0","5336400000.0"
"Net Current Asset Value","-16669600000.0","-17170300000.0","-17347200000.0","-18147700000.0","-14658500000.0","-15489300000.0","-13742900000.0","-14271000000.0","-14858000000.0","-15762000000.0","-15764200000.0","-16460300000.0","-17710400000.0","-18397000000.0","-5126600000.0","-5624800000.0","-6185200000.0","-6675100000.0","-7145100000.0","-7340200000.0","-6599900000.0","-6764200000.0","-6973700000.0","-7061000000.0","-3403400000.0","-1986600000.0","-1853400000.0","-1969400000.0","-1587800000.0","-1616000000.0","-1663200000.0","-1221500000.0","-1612200000.0","-1521200000.0","-1817600000.0","-2020900000.0","-2311500000.0","-2723300000.0","-3053800000.0"
"Invested Capital","22201900000.0","21886200000.0","21586600000.0","23590900000.0","17820900000.0","17968800000.0","17122000000.0","16459100000.0","16738500000.0","16633100000.0","17770100000.0","16666400000.0","18009100000.0","21101700000.0","13824100000.0","11341900000.0","11251700000.0","11217200000.0","11391000000.0","11289600000.0","9911600000.0","10040600000.0","9943100000.0","10380200000.0","7904800000.0","5901100000.0","5950200000.0","5525700000.0","5338000000.0","5141900000.0","5283200000.0","5168700000.0","5218800000.0","5105300000.0","5186400000.0","5235100000.0","5315300000.0","5242400000.0","5004900000.0"
"Average Receivables","2983700000.0","2882400000.0","2796700000.0","2719500000.0","2670050000.0","2603150000.0","2509250000.0","2525500000.0","2645550000.0","2616750000.0","2207950000.0","2226100000.0","2280800000.0","2300000000.0","1873600000.0","1887150000.0","1852500000.0","1899650000.0","1784300000.0","1820100000.0","1743450000.0","1730150000.0","1618750000.0","1686550000.0","1577950000.0","1529650000.0","1441700000.0","1522050000.0","1471450000.0","1458500000.0","1443850000.0","1512700000.0","1534750000.0","1504450000.0","1464050000.0","1500750000.0","1510800000.0","1502350000.0","1421350000.0"
"Average Payables","914350000.0","942000000.0","874200000.0","862500000.0","832750000.0","840300000.0","821450000.0","800700000.0","834450000.0","828200000.0","756100000.0","745400000.0","749400000.0","744700000.0","666450000.0","678500000.0","650750000.0","676000000.0","626850000.0","647450000.0","642750000.0","654150000.0","579500000.0","596250000.0","600700000.0","606500000.0","540150000.0","587700000.0","578800000.0","601700000.0","536550000.0","615000000.0","621050000.0","668250000.0","608200000.0","649000000.0","637650000.0","704400000.0","653850000.0"
"Average Inventory","2254250000.0","2241000000.0","2102500000.0","2189050000.0","2024300000.0","2026850000.0","1925600000.0","1950450000.0","1948050000.0","1979650000.0","1677000000.0","1730250000.0","1710450000.0","1767550000.0","1468900000.0","1531900000.0","1438900000.0","1448450000.0","1386700000.0","1461550000.0","1370550000.0","1343150000.0","1251500000.0","1306900000.0","1249450000.0","1209300000.0","1152150000.0","1188650000.0","1166800000.0","1158150000.0","1151400000.0","1215000000.0","1224600000.0","1204200000.0","1170650000.0","1233300000.0","1223650000.0","1213600000.0","1167200000.0"
