"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","85.975","84.419","82.227","85.451","85.191","82.141","78.791","78.131","76.623","77.453","76.067","75.563","74.437","72.348","69.089","67.257","66.214","67.768","66.715","67.461","64.559","63.449","60.888","60.655","59.742","58.951","56.902","58.586","54.254","52.461","51.301","50.43","46.752","45.325","43.384","42.136","43.335","42.879","42.161"
"Tangible Book Value per Share","356.094","348.216","341.349","345.913","339.828","332.485","321.643","319.412","310.629","308.008","303.715","300.164","294.02","285.469","278.147","268.292","261.179","265.189","265.735","264.81","259.175","257.867","250.689","248.48","245.194","236.817","227.36","223.797","212.828","206.072","197.618","194.556","186.393","182.078","180.908","185.125","183.071","178.746","175.897"
"FCF per Share","2.919","2.771","4.033","6.189","1.527","2.889","2.538","5.849","2.147","0.62","1.608","5.491","1.822","2.003","2.583","4.438","1.921","1.403","1.218","3.909","1.162","2.077","0.873","2.21","0.64","1.478","1.479","2.878","1.073","1.044","1.922","2.534","1.695","1.391","0.968","1.606","1.177","1.506","2.134"
"Interest Debt per Share","24.9369","23.0175","22.7939","22.5035","22.1855","21.5636","21.182","21.9213","20.1715","19.7911","19.4456","18.9436","18.5044","18.0878","17.6818","17.2025","15.568","15.4911","16.6754","16.5365","16.3634","16.852","16.4303","15.9133","15.7764","15.439","14.7666","13.4192","12.9536","12.8344","12.2137","11.6905","11.3442","10.3301","10.5912","10.7909","10.5918","9.4914","9.8875"
"Cash per Share","1.182","0.8902","1.0871","0.9406","0.9135","1.2271","1.2688","1.1183","1.007","0.9601","1.1455","1.0952","0.9067","0.741","0.8192","0.7997","0.8194","0.6434","0.8666","0.5729","0.5928","0.6582","0.5323","0.5566","0.6522","0.5582","0.4467","0.6396","0.549","0.4937","0.4772","0.5122","0.4898","0.4191","0.5997","0.6596","0.55","0.5005","0.4293"
"Debt to Equity Ratio","0.29","0.2727","0.2772","0.2633","0.2604","0.2625","0.2688","0.2806","0.2633","0.2555","0.2556","0.2507","0.2486","0.25","0.2559","0.2558","0.2351","0.2286","0.25","0.2451","0.2535","0.2656","0.2698","0.2624","0.2641","0.2619","0.2595","0.2291","0.2388","0.2446","0.2381","0.2318","0.2426","0.2279","0.2441","0.2561","0.2444","0.2214","0.2345"
"Total Debt To Total Assets","0.0674","0.0636","0.0642","0.0626","0.0628","0.0624","0.0633","0.066","0.0625","0.0618","0.0616","0.0607","0.0606","0.061","0.0611","0.0618","0.0574","0.0563","0.0605","0.0602","0.0609","0.063","0.0632","0.0618","0.062","0.0628","0.0626","0.0578","0.0586","0.06","0.0596","0.058","0.0587","0.0547","0.0564","0.0562","0.0558","0.0512","0.0542"
"Interest Coverage","9.587","9.5393","15.4667","11.6404","10.5376","11.0769","13.7263","14.9043","12.6957","13.4783","16.8696","14.5269","10.7935","16.9783","15.9022","13.9341","14.686","14.2609","4.3441","13.5806","7.3333","12.2188","9.1042","4.4227","-6.4948","11.0938","13.2143","15.4316","10.0825","9.7449","19.2959","13.7551","11.0106","8.9022","10.8617","2.9789","15.1429","15.6","16.8352"
"Income Quality","1.3613","1.2561","1.2078","2.4721","0.6672","1.2301","0.8776","1.9386","0.8325","0.2389","0.5058","2.0022","0.9151","0.6683","0.9383","1.8947","0.7805","0.5915","1.5263","1.7373","0.9038","1.0099","0.568","2.7538","-0.7363","0.7545","0.7405","1.3343","0.7761","0.8207","0.7992","1.5134","1.3189","1.2281","0.7054","4.4019","0.7473","0.9586","1.2672"
