"","42917.0","42826.0","42735.0","42637.0","42546.0","42455.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40810.0","40719.0","40628.0","40537.0","40446.0","40355.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","10.786","10.589","11.09","10.981","11.245","10.123","10.372","9.867","10.163","9.644","9.498","8.956","9.147","8.659","8.922","8.49","8.208","7.417","7.298","7.451","7.43","7.369","7.086","6.577","6.532","6.273","6.408","6.145","5.948","5.479","5.396","4.812","4.629","4.212","4.141","4.065","3.93","3.762","3.668"
"Tangible Book Value per Share","20.984","21.882","19.455","19.682","19.231","19.114","17.572","17.933","16.61","16.955","14.863","15.859","14.562","14.708","13.547","13.683","13.177","13.471","12.08","12.058","11.921","12.106","11.136","10.794","10.92","10.776","9.979","10.177","9.73","9.64","8.77","8.546","8.09","8.276","7.234","7.85","7.757","7.837","6.798"
"FCF per Share","2.482","-1.355","2.337","-0.448","1.111","0.217","0.841","-0.416","1.094","-0.089","1.516","-0.307","1.188","-0.574","1.244","-0.16","0.781","-1.04","1.287","-0.294","0.966","-0.364","0.59","-0.272","0.813","-0.507","0.678","-0.046","0.468","-0.233","0.553","-0.005","0.654","-0.22","0.366","-0.381","1.155","-0.278","0.544"
"Interest Debt per Share","3.83","4.8996","2.2976","2.4088","1.6381","2.0316","1.2496","1.4852","0.0668","0.5075","0.038","1.1151","0.0231","0.5839","0.0089","0.2957","0.0091","0.7651","0.0091","0.0091","0.009","0.0091","0.0093","0.0093","0.0093","0.0094","0.0097","0.0103","0.0109","0.0116","0.0125","0.0135","0.0145","0.2936","0.0159","0.176","0.0182","0.7024","0.3776"
"Cash per Share","0.5289","0.5581","0.4115","0.4161","1.1314","0.5575","0.475","0.3789","0.4137","0.419","0.3754","0.3459","0.4044","0.3435","1.0214","0.3296","0.3997","0.471","1.0469","0.5554","1.3082","1.0376","1.3974","0.8316","1.44","0.9659","1.7671","1.1771","1.246","0.9547","1.1971","0.6582","0.6399","0.2572","0.2511","0.1122","0.4197","0.1158","0.0889"
"Debt to Equity Ratio","0.3551","0.4627","0.2072","0.2194","0.1457","0.2007","0.1205","0.1505","0.0066","0.0526","0.004","0.1245","0.0025","0.0674","0.001","0.0348","0.0011","0.1032","0.0012","0.0012","0.0012","0.0012","0.0013","0.0014","0.0014","0.0015","0.0015","0.0017","0.0018","0.0021","0.0023","0.0028","0.0031","0.0697","0.0038","0.0433","0.0046","0.1867","0.1029"
"Total Debt To Total Assets","0.1744","0.2145","0.1125","0.1219","0.0848","0.1059","0.0708","0.0825","0.004","0.0298","0.0025","0.07","0.0016","0.0395","0.0007","0.0215","0.0007","0.0565","0.0007","0.0008","0.0008","0.0007","0.0008","0.0009","0.0008","0.0009","0.001","0.001","0.0011","0.0012","0.0014","0.0016","0.0018","0.0352","0.0022","0.0222","0.0023","0.0889","0.055"
"Interest Coverage","83.4169","34.7","116.8865","127.9459","130.4969","96.1733","421.6253","178.0153","294.6695","107.2136","287.5421","241.6099","685.1591","173.4119","-278.5568","290.4857","356.0773","379.4581","623.88","322.7344","5478.8387","110.4511","107.6689","115.2775","664.8065","118.3786","114.559","1247.5526","513.0622","51.783","131.2653","77.6508","334.447","2.8623","204.8498","-377.9275","124.185","-1.6688","25.2557"
"Current Ratio","2.022","2.233","1.953","2.288","2.193","1.999","2.144","1.999","1.893","1.855","2.112","2.109","2.042","2.076","2.272","2.197","2.08","2.031","2.016","2.144","2.241","2.179","2.367","2.133","2.108","2.032","2.447","2.156","2.191","1.959","2.177","1.837","1.829","1.692","1.706","1.604","1.492","1.752","1.822"
"Income Quality","2.298","-2.3488","2.9538","0.068","1.3588","0.9701","1.6625","0.115","1.2855","0.6257","2.1561","0.0138","1.5335","-0.7801","2.4517","0.5525","1.2795","-2.1656","2.7987","0.0734","1.6176","-0.5033","2.0254","-0.1411","1.7789","-2.4435","2.5512","0.7881","1.1893","-1.9821","2.4521","0.6629","1.994","-27.117","1.454","-2.5302","4.5977","7.6188","3.3011"
"Payout Ratio","0.216","0.522","0.255","0.358","0.205","0.392","0.241","0.313","0.177","0.372","0.195","0.286","0.167","0.371","0.191","0.283","0.146","0.313","0.179","0.286","0.135","0.214","0.12","0.2","0.094","0.308","0.118","0.2","0.075","0.571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"Intangible Assets out of Total Assets","0.0447","0.0422","0.047","0.0039","0.004","0.004","0.0043","0.0042","0.0045","0.0044","0.005","0.0047","0.0051","0.005","0.0054","0.0053","0.0056","0.0055","0.006","0.006","0.006","0.0059","0.0064","0.0066","0.0065","0.0065","0.007","0.0069","0.0072","0.0073","0.008","0.0083","0.0088","0.0085","0.0095","0.0089","0.0088","0.0086","0.0097"
"Selling, General and Administrative Expense of Revenue","0.2011","0.2443","0.215","0.2318","0.1975","0.2403","0.2155","0.2324","0.1973","0.2415","0.2094","0.2299","0.1967","0.2452","0.216","0.2383","0.195","0.2408","0.2156","0.2413","0.2006","0.2417","0.2161","0.2453","0.2032","0.2708","0.2322","0.2542","0.2058","0.2782","0.2421","0.2592","0.2089","0.2825","0.236","0.2409","0.2085","0.2832","0.237"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","824034000.0","1007176000.0","740615000.0","917496000.0","864100000.0","812653000.0","768177000.0","765014000.0","665901000.0","688077000.0","670897000.0","750245000.0","655198000.0","694715000.0","677107000.0","683103000.0","626149000.0","643261000.0","569547000.0","619891000.0","663527000.0","666567000.0","629624000.0","569581000.0","593462000.0","578220000.0","617153000.0","574605000.0","553602000.0","494265000.0","475847000.0","387616000.0","351954000.0","329043000.0","283159000.0","287452000.0","256642000.0","346217000.0","312068000.0"
"Tangible Asset Value","2689855000.0","2850685000.0","2549225000.0","2625475000.0","2568508000.0","2554270000.0","2360568000.0","2430328000.0","2261012000.0","2311752000.0","2024313000.0","2178440000.0","2015270000.0","2046134000.0","1893133000.0","1909048000.0","1836166000.0","1871070000.0","1696550000.0","1706045000.0","1712154000.0","1733393000.0","1584574000.0","1537592000.0","1572605000.0","1566895000.0","1453216000.0","1477710000.0","1414009000.0","1394081000.0","1266322000.0","1231839000.0","1161253000.0","1190178000.0","1065739000.0","1143901000.0","1158943000.0","1176425000.0","1047713000.0"
"Net Current Asset Value","197516000.0","227356000.0","296085000.0","458763000.0","511698000.0","414225000.0","461929000.0","427410000.0","523679000.0","485933000.0","532980000.0","468096000.0","524582000.0","488303000.0","552751000.0","518823000.0","503004000.0","416289000.0","448218000.0","499834000.0","542976000.0","543617000.0","503707000.0","461451000.0","487065000.0","473389000.0","513485000.0","475854000.0","458410000.0","397772000.0","382635000.0","302098000.0","269272000.0","210072000.0","218135000.0","201246000.0","196086000.0","184679000.0","199290000.0"
"Invested Capital","2306528000.0","2599200000.0","2019178000.0","2179029000.0","1911748000.0","1937855000.0","1793341000.0","1814540000.0","1468187000.0","1518833000.0","1375256000.0","1607761000.0","1333521000.0","1434154000.0","1219491000.0","1333798000.0","1202199000.0","1287790000.0","990295000.0","1086717000.0","990830000.0","1020589000.0","926431000.0","917641000.0","830780000.0","867591000.0","770720000.0","811310000.0","769875000.0","742257000.0","691053000.0","675878000.0","647067000.0","719609000.0","630254000.0","677590000.0","577490000.0","804113000.0","712355000.0"
"Average Receivables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Payables","470607000.0","573135000.0","473385500.0","505578500.0","441531500.0","584148000.0","399036000.0","505092500.0","421419500.0","531529500.0","343655000.0","443281500.0","375490500.0","476775500.0","318439500.0","382790000.0","337784000.0","449978000.0","293400500.0","351133500.0","333260000.0","415160500.0","256898500.0","344409000.0","320650500.0","400681500.0","254511500.0","352716000.0","292157000.0","388787500.0","274231500.0","361480000.0","344395000.0","371702500.0","272587000.0","323673500.0","371019500.0","340859500.0","243758500.0"
