"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","33.497","32.866","31.53","31.278","30.45","30.154","29.583","29.188","29.242","29.175","29.257","29.651","29.615","33.719","33.164","32.645","32.072","32.152","31.627","31.586","30.771","30.755","30.193","30.071","29.769","29.554","29.778","29.446","29.129","28.971","28.671","30.631","30.275","29.919","35.367","50.164","49.756","49.214","48.707"
"Tangible Book Value per Share","39.497","38.997","39.422","38.98","36.38","34.954","35.297","33.256","33.817","31.985","32.761","32.024","32.666","31.597","35.729","28.607","28.271","28.798","29.607","28.912","27.301","27.648","27.953","25.713","24.71","23.356","23.86","22.408","21.964","22.485","22.33","23.72","23.034","22.788","60.943","35.285","35.384","32.442","33.029"
"FCF per Share","1.145","1.762","1.257","1.881","1.435","0.857","0.843","1.359","0.841","1.151","1.008","0.602","0.256","1.809","0.678","1.159","0.892","0.69","1.03","1.468","0.193","0.292","1.034","1.064","-0.133","0.617","0.633","0.714","-0.075","1.082","0.402","1.015","0.402","1.685","1.956","2.467","1.627","2.221","3.912"
"Interest Debt per Share","29.6442","30.0026","31.5354","31.5267","31.1893","29.9393","29.7996","28.298","28.9606","27.0931","26.7523","26.5096","25.7922","22.7733","22.3212","20.9021","20.9412","20.8416","21.0922","20.9133","20.7755","20.159","19.6775","17.8821","17.4029","15.1843","14.9602","14.7698","14.5359","14.4782","13.9148","14.8318","14.6402","14.6158","18.3123","31.7978","33.2984","30.311","30.8953"
"Cash per Share","2.1977","1.8744","1.994","2.9735","3.1816","1.9476","2.6991","2.1896","3.7999","2.7249","3.1293","3.7725","5.1212","3.9798","2.014","1.7092","2.2216","2.6726","3.0156","3.3544","2.5815","2.9712","3.5033","3.131","3.3039","2.7769","3.3113","3.5763","3.729","4.4938","4.0634","6.0395","5.8643","5.9485","0.9191","3.645","4.3451","1.3437","1.2614"
"Debt to Equity Ratio","0.885","0.9129","1.0002","1.0079","1.0243","0.9929","1.0073","0.9695","0.9904","0.9286","0.9144","0.8941","0.8709","0.6754","0.6731","0.6403","0.6529","0.6482","0.6669","0.6621","0.6752","0.6555","0.6517","0.5947","0.5846","0.5138","0.5024","0.5016","0.499","0.4997","0.4853","0.4842","0.4836","0.4885","0.5178","0.6339","0.6692","0.6159","0.6343"
"Total Debt To Total Assets","0.3479","0.3535","0.369","0.3721","0.3816","0.3743","0.3726","0.3658","0.3752","0.3613","0.3544","0.3575","0.3499","0.2975","0.296","0.2884","0.2932","0.2904","0.2918","0.2945","0.3014","0.2925","0.288","0.2771","0.2783","0.2519","0.2481","0.2539","0.254","0.252","0.2454","0.2456","0.2467","0.2468","0.192","0.2779","0.2899","0.2723","0.2774"
"Interest Coverage","7.0803","8.3127","2.3484","6.651","5.8767","7.0282","4.9343","6.0578","6.0629","5.8027","4.6512","2.7264","5.3378","7.4113","5.77","6.4467","4.68","4.9172","5.718","4.8994","3.2468","3.9031","4.766","5.0419","4.0287","4.5912","5.2049","3.4849","3.93","4.7635","4.6498","4.2843","3.771","3.8339","-44.6565","5.8411","4.3444","4.2161","0.6556"
"Current Ratio","1.516","1.581","1.39","1.759","1.859","1.639","1.564","1.445","1.502","1.405","1.432","1.478","1.968","1.691","1.494","1.51","1.557","1.545","1.354","1.43","1.517","1.343","1.505","1.466","1.652","1.461","1.509","1.585","1.658","1.59","1.445","1.368","1.389","1.404","1.176","1.227","1.296","0.998","1.021"
"Income Quality","0.9341","1.026","3.8635","1.0688","1.2742","0.6203","0.9872","1.1565","0.8115","1.0433","1.3942","0.6432","0.3976","1.3189","0.8983","1.0034","1.1868","0.9668","1.0369","1.871","0.8111","0.7136","1.6649","1.5535","0.0674","1.2634","1.2926","1.7835","0.0569","1.8386","1.0523","1.9924","1.1641","3.2076","-0.1538","2.9644","2.697","3.6265","2.2473"
"Payout Ratio","0.292","0.217","1.026","0.212","0.331","0.261","0.327","0.276","0.297","0.299","0.368","0.283","3.68","0.221","0.269","0.225","0.349","0.362","0.222","0.302","0.605","0.433","0.299","0.291","0.383","0.39","0.304","0.457","0.429","0.333","4.333","0.339","0.432","0.345","-0.014","0.213","0.288","0.292","0.218"
"Intangible Assets out of Total Assets","0.5364","0.5405","0.5388","0.5399","0.5549","0.5631","0.5586","0.5701","0.5619","0.5735","0.566","0.5681","0.5569","0.5872","0.5262","0.6053","0.6042","0.5987","0.5903","0.5928","0.6039","0.5989","0.5909","0.6016","0.6049","0.6125","0.6043","0.6149","0.6161","0.6087","0.6063","0.6073","0.6118","0.6152","0.3611","0.6917","0.6919","0.7085","0.7034"
