"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42280.0","42189.0","42098.0","42007.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40180.0","40089.0","39998.0","39907.0","39816.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","21.226","20.667","20.629","20.971","19.291","18.398","18.139","16.989","16.575","15.858","15.476","16.375","16.401","15.444","15.593","12.763","12.165","11.593","10.613","11.775","11.067","10.424","9.868","11.942","11.474","11.057","10.811","10.889","10.662","10.421","10.424","10.961","11.919","10.159","9.813","14.239","15.198","14.452","14.07"
"Tangible Book Value per Share","50.189","49.506","49.018","48.415","48.045","47.885","46.351","46.567","46.581","45.966","45.564","45.555","47.034","45.957","39.868","38.438","38.761","40.185","40.394","40.649","40.809","41.628","43.067","49.179","47.676","48.604","49.654","52.463","56.736","60.516","63.876","67.552","74.074","77.498","76.04","75.031","73.905","74.169","71.84"
"FCF per Share","1.33","-1.0","2.631","0.289","-0.041","-0.878","2.035","0.423","0.144","-0.361","1.282","0.473","0.974","-0.329","2.753","0.895","-0.659","-1.753","1.292","0.769","0.692","-1.169","0.902","1.23","0.26","-0.087","0.324","1.681","1.061","-0.462","1.49","1.813","0.494","-0.98","-0.469","0.595","0.582","0.101","1.123"
"Interest Debt per Share","14.9576","15.2359","13.6191","14.1837","14.5519","14.7397","13.1911","13.6458","13.9891","13.8892","14.0337","14.212","15.2505","15.83","11.3356","11.7574","12.9888","13.7473","14.147","14.4977","14.7209","15.4268","15.9364","19.5902","18.2272","20.6537","21.6878","23.2265","26.6468","30.6543","34.1218","38.581","42.5208","44.5732","41.2988","39.9697","39.1031","40.7015","37.9418"
"Cash per Share","4.2176","3.6914","4.8037","2.7425","2.7638","2.869","3.6723","2.2212","2.8526","2.5575","2.9777","1.8302","2.9197","2.7611","4.3073","2.2709","2.055","2.913","5.0137","4.4066","3.2503","2.3101","3.1815","5.5601","2.3534","3.7025","3.3867","3.614","4.3576","5.5352","6.9785","9.5324","7.6943","6.9603","2.2688","1.4364","1.9259","1.4516","2.1304"
"Debt to Equity Ratio","0.7047","0.7372","0.6602","0.6763","0.7543","0.8012","0.7272","0.8032","0.844","0.8759","0.9068","0.8679","0.9299","1.025","0.727","0.9212","1.0678","1.1858","1.333","1.2313","1.3301","1.4799","1.6149","1.6404","1.5885","1.868","2.0061","2.133","2.4993","2.9416","3.2735","3.5199","3.5675","4.3878","4.2084","2.807","2.5729","2.8164","2.6966"
"Total Debt To Total Assets","0.2538","0.2621","0.2396","0.252","0.2602","0.2647","0.2454","0.2532","0.2598","0.2609","0.2653","0.2692","0.2813","0.2989","0.2462","0.2648","0.2901","0.2973","0.3059","0.3117","0.3157","0.3248","0.3256","0.3555","0.3398","0.3786","0.3901","0.3977","0.4253","0.4615","0.4884","0.5224","0.5249","0.5278","0.4971","0.4802","0.4709","0.4874","0.4731"
"Interest Coverage","6.0","3.9048","7.9762","6.0889","6.8864","5.9767","7.8605","7.1463","6.6905","5.2791","6.72","5.8936","5.4468","3.617","6.6154","4.561","4.8571","3.8824","4.8846","5.1923","5.7925","4.1818","0.4839","4.1475","3.1803","1.7097","1.6667","-0.0299","2.4493","1.0986","0.0933","0.9054","-0.5065","2.012","-0.9923","4.1569","4.7921","4.0","3.4615"
"Current Ratio","1.794","1.771","1.812","1.897","1.831","1.738","1.708","1.608","1.667","1.739","1.653","1.593","1.636","1.609","1.855","1.8","1.726","1.584","1.534","1.719","1.634","1.637","1.796","1.834","1.809","1.933","1.9","1.936","2.109","2.214","2.152","1.994","1.897","1.591","1.137","1.174","1.216","1.187","1.209"
"Income Quality","2.8824","-1.9208","3.9766","0.4204","0.6102","-1.0","3.0575","1.3068","0.8024","-0.1641","2.4906","1.3522","2.625","-0.3176","5.497","3.6465","-0.6195","-3.3529","3.5811","2.4636","1.6221","-2.1525","-21.2105","3.1197","1.8111","1.8621","3.75","-10.6667","4.0854","11.0","-7.5714","135.5","-2.8448","-1.9651","-0.5646","1.3058","1.0","0.4545","1.7383"
"Payout Ratio","0.035","0.054","0.025","0.013","0.03","0.036","0.024","0.031","0.033","0.043","0.026","0.035","0.038","0.067","0.034","0.057","0.05","0.045","0.038","0.037","0.033","0.048","-0.286","0.039","0.063","0.2","0.095","-0.118","0.067","-0.667","-0.083","2.0","-0.091","0.057","-0.274","0.271","0.223","0.247","0.225"
"Intangible Assets out of Total Assets","0.1483","0.1485","0.1376","0.1398","0.1409","0.14","0.1375","0.136","0.1348","0.1366","0.1388","0.1371","0.1325","0.1323","0.134","0.1345","0.1342","0.131","0.1265","0.1259","0.1247","0.1234","0.1201","0.1075","0.1113","0.1091","0.1068","0.1016","0.0944","0.089","0.0856","0.0853","0.0855","0.0823","0.0848","0.0985","0.11","0.1118","0.1043"
"Selling, General and Administrative Expense of Revenue","0.0952","0.0999","0.0928","0.0994","0.0906","0.0962","0.0854","0.0953","0.1013","0.1097","0.0981","0.0886","0.1007","0.1061","0.0873","0.0844","0.1043","0.0977","0.0931","0.088","0.0914","0.1092","0.106","0.0892","0.1081","0.1226","0.1103","0.1214","0.1104","0.129","0.1081","0.1365","0.1302","0.137","0.109","0.1207","0.1067","0.1183","0.127"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","3181000000.0","3103000000.0","3160000000.0","3247000000.0","3072000000.0","2860000000.0","2686000000.0","2548000000.0","2710000000.0","2759000000.0","2376000000.0","2307000000.0","2518000000.0","2397000000.0","2569000000.0","2306000000.0","2169000000.0","1870000000.0","1877000000.0","2311000000.0","2048000000.0","2019000000.0","2332000000.0","2794000000.0","2433000000.0","2606000000.0","2390000000.0","2488000000.0","2943000000.0","3300000000.0","3158000000.0","3107000000.0","2726000000.0","2132000000.0","655000000.0","828000000.0","959000000.0","796000000.0","892000000.0"
"Tangible Asset Value","13435000000.0","13371000000.0","13245000000.0","13046000000.0","12916000000.0","12985000000.0","12685000000.0","12872000000.0","12933000000.0","12725000000.0","12578000000.0","12719000000.0","13129000000.0","12983000000.0","11209000000.0","10782000000.0","10770000000.0","10912000000.0","11384000000.0","11420000000.0","11438000000.0","11641000000.0","11980000000.0","13639000000.0","13188000000.0","13416000000.0","13650000000.0","14386000000.0","15507000000.0","16498000000.0","17318000000.0","18255000000.0","18147000000.0","18828000000.0","18333000000.0","18648000000.0","18420000000.0","18445000000.0","17906000000.0"
"Net Current Asset Value","-2907000000.0","-2995000000.0","-2731000000.0","-2649000000.0","-3078000000.0","-3373000000.0","-3266000000.0","-3465000000.0","-3573000000.0","-3855000000.0","-4319000000.0","-3967000000.0","-4082000000.0","-4265000000.0","-2988000000.0","-3688000000.0","-3902000000.0","-4337000000.0","-4653000000.0","-4231000000.0","-4688000000.0","-5175000000.0","-5607000000.0","-5824000000.0","-6224000000.0","-6608000000.0","-7263000000.0","-7881000000.0","-8613000000.0","-9250000000.0","-10214000000.0","-10764000000.0","-11159000000.0","-12311000000.0","-12229000000.0","-11554000000.0","-11502000000.0","-12120000000.0","-11315000000.0"
"Invested Capital","12305000000.0","12466000000.0","11734000000.0","12509000000.0","12387000000.0","12327000000.0","11498000000.0","11841000000.0","11962000000.0","12128000000.0","11992000000.0","12283000000.0","12614000000.0","12737000000.0","10182000000.0","10560000000.0","10819000000.0","10652000000.0","10446000000.0","11040000000.0","11423000000.0","12138000000.0","12597000000.0","14179000000.0","14571000000.0","15302000000.0","16024000000.0","17106000000.0","18946000000.0","20627000000.0","21935000000.0","22980000000.0","23640000000.0","24361000000.0","22962000000.0","23460000000.0","23239000000.0","23950000000.0","22555000000.0"
"Average Receivables","2102500000.0","2186500000.0","2066500000.0","2202500000.0","2227000000.0","2305500000.0","2203500000.0","2377500000.0","2446000000.0","2455500000.0","2372500000.0","1786500000.0","1840000000.0","1820500000.0","2645500000.0","1106500000.0","1137000000.0","1160500000.0","2046500000.0","1135000000.0","1107500000.0","1201000000.0","1289500000.0","1161500000.0","1279500000.0","1413500000.0","1509000000.0","1537500000.0","1478500000.0","1710500000.0","2132500000.0","5703000000.0","5567500000.0","5778000000.0","1755000000.0","9324000000.0","9505500000.0","9531000000.0","5069500000.0"
"Average Payables","1209000000.0","1228500000.0","1168000000.0","1194500000.0","1173500000.0","1178500000.0","1038500000.0","1154000000.0","1147500000.0","1144000000.0","1060500000.0","1069500000.0","1066000000.0","1105000000.0","1064000000.0","1011500000.0","1050500000.0","1215000000.0","1173500000.0","1213000000.0","1299500000.0","1258500000.0","1137000000.0","1217000000.0","1087000000.0","943000000.0","977500000.0","845500000.0","715500000.0","873000000.0","1054000000.0","863000000.0","940000000.0","1040500000.0","970500000.0","1030000000.0","1047500000.0","989500000.0","827000000.0"
"Average Inventory","4625000000.0","4593000000.0","4304000000.0","4682500000.0","4516000000.0","4356500000.0","4036000000.0","4327500000.0","4227000000.0","4072500000.0","3445500000.0","3650500000.0","3610000000.0","3440500000.0","2837500000.0","3025500000.0","2981000000.0","2782500000.0","2557000000.0","2719000000.0","2660500000.0","2523000000.0","2339500000.0","2627000000.0","2521000000.0","2464000000.0","2275000000.0","2681500000.0","2740500000.0","2899000000.0","2683000000.0","2996000000.0","3146000000.0","3198500000.0","2843000000.0","2955000000.0","2904500000.0","2708000000.0","2331000000.0"
