"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","44.773","43.923","40.204","39.55","38.261","36.903","35.498","34.747","34.685","33.415","33.912","33.647","33.641","33.112","32.246","31.888","31.101","31.257","30.627","29.572","28.575","27.773","26.741","26.171","25.454","24.467","23.628","22.97","22.031","21.239","20.474","19.859","18.415","17.842","17.375","16.516","15.957","15.935","15.76"
"Tangible Book Value per Share","80.146","79.835","70.047","71.155","67.134","65.792","61.291","58.958","56.673","56.075","52.009","51.073","50.269","49.446","46.574","45.909","44.296","46.267","44.123","41.401","42.931","42.188","38.865","41.626","37.036","35.957","34.225","33.327","32.992","31.803","31.168","30.145","28.321","28.136","27.925","25.947","26.006","25.629","25.379"
"FCF per Share","1.818","6.236","-1.989","7.139","1.362","1.986","3.176","2.561","0.861","1.987","2.116","2.884","0.665","1.073","0.603","3.023","1.306","0.719","1.373","-0.606","1.935","3.192","-0.593","4.389","0.83","0.931","1.016","2.421","0.454","0.937","0.888","2.228","0.291","0.795","1.332","1.307","0.326","0.055","0.695"
"Interest Debt per Share","33.1286","35.5356","34.6324","34.8992","34.9085","35.3851","33.5414","33.3494","18.9821","19.26","18.1881","18.0774","17.1062","17.0549","16.9107","16.7161","16.4807","17.7648","16.4578","12.7182","12.2733","12.3715","11.0","11.1915","10.3544","10.7228","10.194","9.87","9.5049","9.1904","9.6904","9.7051","10.0162","9.7972","10.6973","10.6429","10.815","10.6629","8.6481"
"Cash per Share","15.1266","16.9203","10.9559","13.4412","8.6404","11.1186","11.4617","8.3767","8.2847","9.0671","7.8318","7.4644","6.5495","7.6439","7.2979","8.253","7.5857","9.8799","8.2574","8.7241","11.2626","11.2233","8.9121","12.8441","9.093","9.0147","8.3468","8.5892","8.858","8.6638","8.4996","8.2697","6.194","6.5835","6.209","5.0507","4.3363","5.0605","6.9639"
"Debt to Equity Ratio","0.7399","0.809","0.8614","0.8824","0.9124","0.9589","0.9449","0.9598","0.5473","0.5764","0.5363","0.5373","0.5085","0.5151","0.5244","0.5242","0.5299","0.5683","0.5374","0.4301","0.4295","0.4455","0.4114","0.4276","0.4068","0.4383","0.4314","0.4297","0.4314","0.4327","0.4733","0.4887","0.5439","0.5491","0.6157","0.6444","0.6777","0.6692","0.5487"
"Total Debt To Total Assets","0.2313","0.2472","0.2685","0.2687","0.2776","0.2861","0.2873","0.2935","0.1977","0.2048","0.2015","0.2051","0.1959","0.1981","0.2059","0.205","0.2073","0.2171","0.2071","0.1813","0.1717","0.1768","0.1714","0.1681","0.1684","0.1782","0.1767","0.1746","0.1773","0.1767","0.1892","0.1948","0.2097","0.2093","0.2292","0.2386","0.2428","0.2469","0.2163"
"Interest Coverage","12.1761","11.9929","11.8022","13.2714","11.797","11.3668","9.3615","13.0873","19.1722","17.6","18.3113","19.0987","16.4645","12.8375","13.9318","14.7809","13.642","11.7472","12.1445","16.519","14.549","15.6554","14.9209","16.0465","17.6387","18.822","15.2712","18.0252","15.9748","16.128","10.9375","12.2336","10.3597","12.7328","8.2516","9.6265","4.1037","11.1234","13.3203"
"Current Ratio","0.722","0.712","0.688","0.7","0.703","0.729","0.738","0.749","0.771","0.765","0.769","0.738","0.742","0.728","0.731","0.761","0.781","0.836","0.776","0.818","0.823","0.826","0.851","0.856","0.838","0.808","0.776","0.747","0.822","0.801","0.821","0.876","0.798","0.825","0.759","0.66","0.663","0.733","0.841"
