"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","40.824","39.731","38.635","39.896","38.514","37.346","35.588","34.786","34.13","34.555","33.818","36.282","35.91","34.518","33.156","32.891","31.397","31.719","31.305","30.961","29.337","28.147","27.942","31.174","29.509","29.01","28.203","27.309","26.656","26.416","25.621","24.872","22.575","19.394","19.322","19.496","22.129","22.016","22.282"
"Tangible Book Value per Share","276.252","271.296","265.409","270.915","267.609","258.473","247.826","248.384","246.514","249.844","247.038","242.406","240.926","234.643","226.689","225.284","221.653","227.616","225.479","221.025","211.571","204.293","203.003","197.191","187.832","183.787","180.065","180.101","170.035","164.862","163.596","163.764","154.368","147.9","148.638","143.953","148.877","149.491","145.491"
"FCF per Share","1.374","1.225","1.449","0.746","1.025","1.156","1.092","1.025","1.221","1.466","1.0","0.745","1.355","1.228","0.829","0.991","0.686","0.983","1.165","0.981","1.224","1.133","1.049","0.57","1.022","0.972","0.892","0.751","1.162","0.847","1.156","0.741","0.958","0.878","0.92","0.927","1.233","0.791","1.372"
"Interest Debt per Share","13.0071","13.0202","12.9218","12.8698","14.272","11.697","11.5072","11.0393","10.9522","10.9584","11.0345","11.1999","11.0695","11.6008","10.0014","10.5153","10.4807","10.7866","11.6719","11.5649","10.5209","10.0649","9.8587","9.6517","8.8678","8.4119","9.0066","8.8329","7.4872","7.5706","7.685","7.7854","6.9296","7.4332","7.3989","7.4108","7.3287","7.7036","7.4556"
"Cash per Share","0.5127","0.4668","0.4325","0.3746","0.3945","0.5053","0.4638","0.4431","0.4914","0.3345","0.4068","0.2379","0.4351","0.2937","0.3603","0.239","0.1791","0.3781","0.281","0.1913","0.1329","0.3527","0.3988","0.172","0.2313","0.1828","0.169","0.2405","0.2443","0.1555","0.2158","0.6656","0.147","0.1513","0.1507","0.2874","0.2717","0.2444","0.5518"
"Debt to Equity Ratio","0.3186","0.3277","0.3345","0.3226","0.3706","0.3132","0.3233","0.3173","0.3209","0.3171","0.3263","0.3087","0.3083","0.3361","0.3016","0.3197","0.3338","0.3401","0.3728","0.3735","0.3586","0.3576","0.3528","0.3096","0.3005","0.29","0.3194","0.3234","0.2809","0.2866","0.2999","0.313","0.307","0.3833","0.3829","0.3801","0.3312","0.3499","0.3346"
"Total Debt To Total Assets","0.0468","0.0477","0.0484","0.0473","0.0531","0.0451","0.0463","0.0443","0.0443","0.0437","0.0445","0.0461","0.0458","0.0493","0.044","0.0465","0.0471","0.0472","0.0516","0.0522","0.0496","0.0491","0.0484","0.0488","0.047","0.0456","0.0498","0.0489","0.0439","0.0458","0.0468","0.0474","0.0447","0.0501","0.0496","0.0513","0.049","0.0513","0.051"
"Interest Coverage","10.0627","9.299","10.3266","8.3473","9.0236","8.8808","9.1388","8.8451","9.4158","9.0159","-10.8078","9.2552","7.6376","9.7018","9.5266","8.5963","9.3512","9.1887","9.4698","9.7541","9.4205","9.7324","-16.5369","9.2251","10.5299","9.6385","9.289","10.2756","10.0352","11.8144","9.5768","12.9928","14.5263","8.6871","2.5086","5.2957","9.9951","6.574","3.0948"
"Income Quality","1.3627","1.3397","1.4565","0.8199","1.1322","1.3927","1.2946","1.3395","1.4547","1.8793","-0.9908","0.9959","1.5835","1.5354","1.5326","1.2698","0.8381","1.2469","1.8204","1.1933","1.6165","1.5395","-1.0976","0.8564","1.3827","1.3462","1.2958","1.1114","1.8445","1.2254","1.9228","1.1104","1.1871","1.7641","7.2847","2.9657","1.7765","1.6824","3.0841"
"Payout Ratio","0.185","0.2","0.187","0.198","0.18","0.205","0.194","0.217","0.189","0.2","-0.155","0.198","0.151","0.161","0.173","0.179","0.159","0.165","0.153","0.157","0.132","0.135","-0.083","0.147","0.122","0.125","0.13","0.132","0.127","0.116","0.133","0.119","0.086","0.14","0.5","0.219","0.1","0.149","0.159"
"Intangible Assets out of Total Assets","0.0053","0.0054","0.0054","0.0053","0.0036","0.0037","0.0038","0.0038","0.0032","0.0031","0.0032","0.0032","0.0032","0.0033","0.0034","0.0034","0.0034","0.0033","0.0032","0.0032","0.0033","0.0034","0.0034","0.0034","0.0035","0.0035","0.0035","0.0034","0.0035","0.0037","0.0037","0.0037","0.0039","0.0041","0.0041","0.0041","0.0039","0.0039","0.0039"
"Selling, General and Administrative Expense of Revenue","0.0926","0.0963","0.0912","0.0929","0.0923","0.0954","0.0913","0.0927","0.0905","0.097","0.0902","0.0887","0.0863","0.0903","0.0876","0.0876","0.0849","0.0907","0.0852","0.0866","0.0882","0.089","0.0831","0.0866","0.085","0.0875","0.083","0.0847","0.0828","0.0852","0.0821","0.0809","0.0808","0.0883","0.0897","0.0872","0.0796","0.0862","0.0797"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","63044500000.0","62189000000.0","61606400000.0","63568300000.0","63626400000.0","61738100000.0","60332700000.0","61271700000.0","61508000000.0","62816300000.0","62251500000.0","61759900000.0","62016800000.0","60877600000.0","59202700000.0","59384100000.0","59165200000.0","61410500000.0","62034400000.0","61918000000.0","60477400000.0","59370300000.0","59354000000.0","59839700000.0","57814200000.0","56915300000.0","57106500000.0","58853400000.0","56591400000.0","54796300000.0","54275400000.0","54273700000.0","51138000000.0","48979200000.0","49216900000.0","49735000000.0","51563500000.0","51864900000.0","52497600000.0"
"Invested Capital","65895900000.0","65066600000.0","64505400000.0","66500200000.0","66925900000.0","64411300000.0","63021200000.0","63885600000.0","64118100000.0","65487400000.0","64929600000.0","64552800000.0","64754200000.0","63811200000.0","61720600000.0","62092900000.0","61915000000.0","64218700000.0","65168300000.0","65104200000.0","63446800000.0","62192800000.0","62119900000.0","62716400000.0","60472500000.0","59463700000.0","59909300000.0","61661200000.0","59002000000.0","57260900000.0","56753400000.0","56633300000.0","53384900000.0","51390700000.0","51616900000.0","52196100000.0","54007700000.0","54452800000.0","54988700000.0"
"Average Receivables","6467750000.0","6498850000.0","6396600000.0","6431650000.0","6443000000.0","6499550000.0","6432300000.0","6454900000.0","6463100000.0","6520800000.0","6497700000.0","6519800000.0","6505600000.0","6547850000.0","6464750000.0","6525600000.0","6507900000.0","6565950000.0","6501000000.0","6566550000.0","6488400000.0","6499800000.0","6510250000.0","6691250000.0","6646250000.0","6524550000.0","6611500000.0","6773850000.0","6803650000.0","6650050000.0","6744150000.0","6878450000.0","6912100000.0","6904950000.0","6916850000.0","7085500000.0","7342350000.0","7323750000.0","7322000000.0"
"Average Payables","427500000.0","411750000.0","410700000.0","425250000.0","430050000.0","212950000.0","244600000.0","205200000.0","204950000.0","0.0","36900000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
