"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","23.05","20.792","19.567","17.862","16.971","16.5","15.9","15.697","14.963","15.479","17.995","18.903","18.474","19.449","19.607","18.299","16.798","16.836","16.665","16.127","21.875","1.431","1.022","0.224","-0.32","-0.478","-0.33","-0.248","-0.827","-0.798","-0.316","-0.299","-0.765","-0.933","-0.484","14.756","16.365","23.655","23.524"
"Tangible Book Value per Share","106.705","93.215","94.818","95.472","90.8","84.181","85.48","88.005","86.13","82.739","77.659","83.913","81.792","78.644","77.868","80.807","77.137","73.183","74.047","72.966","104.449","109.412","60.193","58.64","58.125","57.167","57.258","58.103","55.374","55.744","60.314","60.92","61.339","62.464","66.151","71.148","48.77","51.851","51.733"
"FCF per Share","1.467","5.812","3.93","0.627","1.571","6.596","4.988","0.199","-0.186","4.662","2.455","0.751","-0.391","2.982","5.009","-1.726","-1.666","2.516","2.03","-0.205","-4.673","-1.415","1.58","-0.447","-1.888","1.155","1.371","0.628","0.132","1.662","0.748","2.062","1.164","2.167","3.306","0.337","-0.301","1.657","3.847"
"Interest Debt per Share","97.2035","87.1659","92.4909","92.8726","88.5965","85.2257","87.9257","89.2839","86.7278","83.6609","79.773","84.4026","82.3988","75.5113","76.9352","81.2782","78.0602","77.0211","79.533","80.1505","115.159","95.6302","48.5567","48.1668","47.6138","47.2214","48.3865","48.5539","46.9036","47.035","51.1205","51.5897","52.8065","53.8645","55.8496","60.5408","34.6619","31.4628","31.6601"
"Cash per Share","3.9994","3.9971","3.7044","3.447","2.9943","2.4074","1.9283","1.793","2.0625","2.6626","1.583","1.7517","1.7477","2.4352","1.877","1.34","1.4114","1.5804","1.1448","0.7335","0.6429","45.7168","0.5746","0.4151","0.928","3.3812","3.3535","2.8085","0.4963","0.3324","2.8095","2.478","2.079","1.5999","1.2856","1.113","0.9259","5.9659","4.4413"
"Debt to Equity Ratio","4.2171","4.1922","4.7269","5.1995","5.2204","5.1652","5.5298","5.688","5.796","5.405","4.4332","4.465","4.4602","3.8825","3.924","4.4417","4.6469","4.5747","4.7725","4.9699","5.2645","66.8444","47.5313","215.5","-148.8","-98.7241","-146.45","-195.9333","-56.7","-58.9583","-161.8421","-172.3333","-69.0217","-57.7143","-115.3448","4.1029","2.1181","1.3301","1.3459"
"Total Debt To Total Assets","0.6184","0.6216","0.6498","0.6519","0.6469","0.6579","0.6755","0.6759","0.6672","0.6575","0.6564","0.6485","0.6429","0.6259","0.6387","0.6557","0.6495","0.656","0.6679","0.6759","0.6712","0.8244","0.7343","0.7533","0.753","0.7755","0.7931","0.785","0.7932","0.7896","0.7968","0.7964","0.8104","0.8127","0.7981","0.6397","0.534","0.4625","0.4649"
"Interest Coverage","3.0265","2.7128","2.4938","3.7545","2.6439","2.3738","3.729","4.1776","1.6422","2.5041","3.6134","3.4435","1.7594","1.752","2.9153","2.8017","2.1008","1.25","1.198","1.7344","0.4754","1.2754","1.95","2.6552","1.6441","0.5345","0.4943","1.6667","1.0536","-0.0159","0.3108","1.0625","0.0938","0.3654","-61.6471","2.6528","2.4902","2.3721","6.6279"
"Current Ratio","0.85","1.002","1.149","0.954","0.838","0.962","1.049","0.94","0.908","0.934","0.878","0.813","0.8","1.272","1.059","0.997","0.856","0.958","0.994","0.734","0.717","0.627","0.837","0.749","0.802","1.202","1.274","1.359","1.047","1.062","1.529","1.85","1.905","1.747","1.646","1.669","1.313","1.836","2.154"
"Income Quality","5.0638","5.7156","2.1111","2.0481","4.7985","6.5652","2.5917","1.4279","6.686","5.8696","1.7268","2.1458","5.8085","8.4667","3.1143","1.6573","5.6506","19.4762","5.5122","2.0959","-1.6923","19.5385","5.4828","2.4154","5.2593","-7.7","-5.1905","5.3913","8.4167","-2.95","-3.2692","0.0","-4.7647","-6.5263","-0.2263","1.6316","-1.0941","5.9474","2.4194"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"Intangible Assets out of Total Assets","0.3211","0.3352","0.3338","0.3299","0.337","0.3501","0.3433","0.3338","0.3374","0.3498","0.361","0.3553","0.3618","0.3482","0.3536","0.3481","0.3582","0.3767","0.3782","0.3846","0.3912","0.0567","0.0898","0.0829","0.0807","0.0612","0.0615","0.0606","0.0635","0.0642","0.0599","0.0596","0.0587","0.0576","0.0546","0.2482","0.2487","0.2377","0.2403"
"Selling, General and Administrative Expense of Revenue","0.1365","0.1423","0.1221","0.1187","0.1246","0.1351","0.1182","0.1148","0.1225","0.1376","0.1336","0.1256","0.1337","0.1426","0.1218","0.1274","0.126","0.1455","0.1409","0.1345","0.147","0.1555","0.1461","0.1445","0.159","0.1816","0.1608","0.157","0.1616","0.1799","0.1795","0.1672","0.1642","0.1818","0.1517","0.1512","0.154","0.1671","0.1643"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-261000000.0","3000000.0","177000000.0","-66000000.0","-244000000.0","-47000000.0","61000000.0","-91000000.0","-146000000.0","-103000000.0","-180000000.0","-317000000.0","-350000000.0","299000000.0","76000000.0","-4000000.0","-229000000.0","-58000000.0","-8000000.0","-403000000.0","-402000000.0","-390000000.0","-141000000.0","-221000000.0","-166000000.0","123000000.0","156000000.0","188000000.0","24000000.0","30000000.0","244000000.0","312000000.0","316000000.0","266000000.0","276000000.0","313000000.0","183000000.0","542000000.0","600000000.0"
"Tangible Asset Value","9018000000.0","7859000000.0","7986000000.0","8226000000.0","8036000000.0","7658000000.0","7935000000.0","8393000000.0","8352000000.0","7986000000.0","7751000000.0","8048000000.0","7956000000.0","7331000000.0","7260000000.0","7538000000.0","7269000000.0","6807000000.0","6856000000.0","6764000000.0","6661000000.0","6883000000.0","3771000000.0","3673000000.0","3633000000.0","3466000000.0","3466000000.0","3517000000.0","3347000000.0","3354000000.0","3628000000.0","3663000000.0","3688000000.0","3748000000.0","3962000000.0","4219000000.0","4214000000.0","4476000000.0","4438000000.0"
