"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","29.221","29.386","29.55","29.944","28.592","28.651","28.728","28.901","33.344","33.922","29.444","29.075","29.44","29.712","30.046","30.343","30.501","30.589","30.602","31.729","32.459","31.857","40.599","32.174","22.221","16.478","15.228","15.332","15.429","15.632","15.77","15.903","16.153","15.15","15.11","15.541","14.348","14.506","13.668"
"Tangible Book Value per Share","64.282","64.574","62.527","63.902","62.113","63.227","63.722","64.247","73.402","75.095","70.562","70.235","67.318","67.045","67.184","67.89","64.232","64.185","64.399","62.527","62.799","59.606","75.604","59.874","54.657","35.495","36.738","37.035","34.877","36.01","35.924","35.759","36.071","39.093","40.363","41.311","41.388","41.441","42.847"
"FCF per Share","0.821","0.075","1.425","-3.127","0.926","0.773","0.895","-2.775","0.749","-1.882","-0.03","-1.957","0.707","0.31","0.816","-2.676","0.102","0.513","-0.067","0.038","-2.502","0.735","0.446","0.556","-1.249","0.766","0.588","-0.52","0.642","0.64","0.454","0.779","0.456","1.104","0.792","0.564","0.895","0.717","0.103"
"Interest Debt per Share","33.5414","33.7003","31.4347","32.1244","32.1661","33.5194","33.6623","33.8913","34.7969","35.6546","36.7848","35.6056","32.6627","32.2622","31.8871","32.1473","28.7733","28.4638","28.5474","25.4122","24.8293","22.2986","28.142","21.9691","28.407","16.029","18.503","18.4864","16.4794","17.2459","17.0791","16.7369","16.9405","20.5631","21.9387","22.2746","23.5383","23.1492","25.1872"
"Cash per Share","0.4836","0.5176","1.0378","0.5105","0.3628","0.3827","0.3932","0.4202","0.7695","1.057","0.4312","0.4875","0.5515","0.4624","0.6111","0.5221","0.5362","0.5384","0.5898","0.4592","0.5779","0.5813","0.5358","0.4951","0.5161","0.4818","0.3876","0.4838","0.4551","1.1106","0.9417","1.0711","0.9129","0.937","1.6272","1.135","0.5017","0.7623","0.6177"
"Debt to Equity Ratio","1.1479","1.1468","1.0638","1.0728","1.125","1.1699","1.1717","1.1727","1.0436","1.0511","1.2493","1.2246","1.1095","1.0858","1.0613","1.0595","0.9434","0.9305","0.9329","0.8009","0.7649","0.7","0.6932","0.6828","1.2784","0.9727","1.2151","1.2057","1.0681","1.1033","1.083","1.0524","1.0488","1.3573","1.4519","1.4332","1.6406","1.5958","1.8427"
"Total Debt To Total Assets","0.4992","0.4993","0.4803","0.4803","0.4934","0.5053","0.5034","0.5027","0.4741","0.4748","0.5123","0.5069","0.4852","0.4812","0.4746","0.4735","0.448","0.4435","0.4433","0.4064","0.3954","0.3741","0.3722","0.3669","0.5197","0.4516","0.5037","0.4992","0.4725","0.4789","0.4754","0.4681","0.4696","0.526","0.5435","0.5392","0.5687","0.5586","0.5878"
"Interest Coverage","2.3179","2.792","2.9009","2.3412","2.2696","2.361","2.0915","1.1251","2.6679","2.3749","2.2013","2.3869","2.5483","2.4171","26.0828","2.3791","2.2466","2.449","2.1074","2.3911","1.9461","2.4966","4.0156","2.2824","1.2607","2.097","3.061","2.3084","2.3339","2.1999","2.3079","2.141","3.0","2.6042","2.1461","2.2484","2.2929","1.4034","1.2533"
"Income Quality","2.6446","1.6945","1.7636","2.3071","2.6794","1.8603","2.9642","13.317","2.4933","2.8575","3.1241","2.9714","2.2492","2.3497","3.3136","2.7705","2.4209","2.0528","3.2863","2.2212","2.9159","2.703","1.7067","2.5038","2.8223","2.6696","1.3083","2.3904","1.5871","2.1962","1.8288","2.5711","0.9231","1.5298","1.3575","2.0081","0.9855","3.3583","2.1611"
"Payout Ratio","1.814","1.393","1.322","1.698","1.738","1.659","1.973","132.0","1.756","2.135","2.135","1.946","1.532","1.756","1.946","1.675","1.718","1.763","2.138","1.632","2.385","2.0","0.731","1.583","5.182","1.839","1.102","1.459","1.459","1.588","1.457","1.594","0.895","0.981","1.275","1.133","1.0","2.217","3.133"
"Intangible Assets out of Total Assets","0.0433","0.0432","0.0446","0.0445","0.0472","0.0469","0.0471","0.0469","0.0","0.0","0.0172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0372","0.0384","0.036","0.0364","0.0378","0.0372","0.0329","0.0388","0.0418","0.0426","0.0384","0.0418","0.0417","0.0443","0.0692","0.0403","0.0399","0.0421","0.0352","0.0421","0.0432","0.0392","0.0427","0.0371","0.0433","0.0553","0.0557","0.0577","0.0405","0.0443","0.0358","0.0412","0.0447","0.0463","0.049","0.0494","0.042","0.0361","0.0533"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","22821704000.0","22885847000.0","22133375000.0","22383189000.0","21049993000.0","21216309000.0","21214421000.0","21361656000.0","24275162000.0","24439871000.0","20801942000.0","20651165000.0","19790786000.0","19702768000.0","19731494000.0","19879358000.0","18796582000.0","18706921000.0","18980000000.0","18440899000.0","18222261000.0","17188959000.0","17271910000.0","17205770000.0","9634033000.0","5694098000.0","5758021000.0","5800817000.0","5462117000.0","5633825000.0","5616245000.0","5587310000.0","5570861000.0","5593846000.0","5771418000.0","5814848000.0","5717061000.0","5651788000.0","5716628000.0"
"Invested Capital","34558005000.0","34646121000.0","32893347000.0","33456716000.0","31828176000.0","32335628000.0","32290498000.0","32490494000.0","35528531000.0","35699799000.0","31519174000.0","30976930000.0","29231076000.0","29047918000.0","28917013000.0","29139804000.0","27059742000.0","26845914000.0","27219825000.0","25800235000.0","25259302000.0","23451679000.0","23578629000.0","23376646000.0","14550150000.0","8188168000.0","8597313000.0","8620589000.0","7971688000.0","8158244000.0","8139117000.0","8035086000.0","8046172000.0","8402166000.0","8675738000.0","8790434000.0","8899173000.0","8704931000.0","8994716000.0"
"Average Receivables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
