"","42886.0","42794.0","42704.0","42613.0","42521.0","42429.0","42338.0","42247.0","42155.0","42063.0","41973.0","41882.0","41790.0","41698.0","41608.0","41517.0","41425.0","41333.0","41243.0","41152.0","41060.0","40968.0","40877.0","40786.0","40694.0","40602.0","40512.0","40421.0","40329.0","40237.0","40147.0","40056.0","39964.0","39872.0","39782.0","39691.0","39599.0","39507.0","39416.0"
"Book Value per Share","28.41","27.848","27.1","27.603","28.572","27.315","28.199","28.258","28.92","29.527","21.819","21.462","22.419","21.834","21.09","20.571","20.027","20.069","19.443","20.49","17.492","17.044","16.681","16.611","16.156","15.973","15.464","14.795","15.477","15.208","14.793","14.504","14.301","13.845","13.282","13.003","12.659","12.171","11.591"
"Tangible Book Value per Share","44.981","44.124","43.417","43.288","36.709","36.537","37.118","36.681","38.532","40.33","48.907","35.27","36.665","36.376","35.805","34.97","35.286","35.093","34.756","35.17","29.113","28.234","28.887","28.459","27.892","27.179","27.076","25.057","25.413","25.286","25.375","23.891","23.871","23.658","23.346","21.19","20.37","19.846","19.58"
"FCF per Share","1.469","2.404","0.136","2.067","1.718","1.885","0.36","1.048","1.443","0.956","0.736","1.15","1.091","0.921","-0.243","0.83","1.146","1.008","0.28","0.36","1.707","0.809","0.443","-0.17","1.097","0.751","0.96","0.716","0.813","0.382","0.874","0.463","1.086","0.986","-0.33","-0.024","0.379","0.568","-0.101"
"Interest Debt per Share","17.8349","17.5151","17.4402","17.5778","12.5139","12.9846","13.1102","13.17","14.8864","16.3492","15.3627","4.6976","4.7388","5.322","5.3429","5.3368","6.7173","6.7241","6.7545","6.0584","2.7913","2.7528","2.7293","2.6952","2.6281","2.6036","2.5861","2.4669","2.4252","2.396","2.4069","2.3719","2.3669","2.3725","2.4449","1.4348","1.1755","0.7688","1.2065"
"Cash per Share","11.3759","10.9493","8.8698","9.0596","3.045","3.3198","2.36","2.747","4.0764","2.8795","13.598","2.7684","2.2255","1.8668","1.0208","2.2269","3.1592","2.5714","1.9348","1.4573","2.3203","1.247","1.2436","1.7409","2.9101","2.4404","2.2201","1.9316","1.7534","2.5445","2.582","2.1055","2.3185","0.92","0.8962","0.4476","0.4767","0.2573","0.2976"
"Debt to Equity Ratio","0.6278","0.629","0.6435","0.6368","0.438","0.4754","0.4649","0.4661","0.5147","0.5537","0.7041","0.2189","0.2114","0.2437","0.2533","0.2594","0.3354","0.3351","0.3474","0.2957","0.1596","0.1615","0.1636","0.1623","0.1627","0.163","0.1672","0.1667","0.1567","0.1575","0.1627","0.1635","0.1655","0.1714","0.1841","0.1103","0.0929","0.0632","0.1041"
"Total Debt To Total Assets","0.259","0.2608","0.2624","0.2618","0.2009","0.2113","0.2079","0.2091","0.23","0.2391","0.2989","0.1205","0.1211","0.1366","0.139","0.1422","0.1776","0.1787","0.1811","0.1611","0.0882","0.0899","0.0875","0.0877","0.0877","0.089","0.0888","0.0914","0.0887","0.0894","0.0896","0.0935","0.0934","0.0944","0.0986","0.0634","0.0539","0.0367","0.0584"
"Interest Coverage","9.5806","8.593","8.3642","8.2339","10.6939","9.7929","10.2536","0.851","12.3245","17.8958","22.2909","4.2093","31.6","30.9189","27.8049","22.2545","21.36","52.8261","19.0541","15.8378","51.3529","65.0","52.9412","84.4","52.8333","67.0556","47.05","41.5556","34.5417","49.3636","37.9524","30.5217","33.84","51.5","44.6","101.5714","457.0","544.0","0.0"
"Current Ratio","1.297","1.556","1.504","1.521","1.247","1.252","1.199","1.187","1.302","1.241","2.357","1.376","1.418","1.416","1.329","1.337","1.297","1.378","1.305","1.234","1.542","1.545","1.471","1.524","1.642","1.662","1.554","1.604","1.68","1.803","1.71","1.78","1.757","1.678","1.431","1.57","1.358","1.403","1.37"
"Income Quality","1.5964","2.6953","0.4981","2.5806","1.9075","2.5301","0.6595","57.8846","1.3994","0.6396","1.2129","-6.2624","1.7815","1.5419","0.1914","1.4874","2.2099","1.5847","1.4552","2.1756","3.4395","1.4744","1.4603","0.4571","2.0398","1.1989","2.0086","1.9681","2.2808","0.8894","2.3885","1.9541","2.91","2.2313","0.7647","1.237","1.722","1.6268","0.8553"
"Payout Ratio","0.352","0.388","0.392","0.4","0.353","0.419","0.353","-12.0","0.286","0.173","0.378","-1.478","0.427","0.427","0.438","0.405","0.424","0.35","0.636","0.718","0.365","0.291","0.365","0.258","0.258","0.212","0.274","0.354","0.298","0.206","0.286","0.318","0.208","0.169","0.268","0.244","0.172","0.145","0.217"
"Intangible Assets out of Total Assets","0.3468","0.3429","0.3467","0.3553","0.4108","0.4055","0.4112","0.4176","0.4047","0.4102","0.0485","0.095","0.0633","0.0662","0.0683","0.0679","0.067","0.0671","0.0682","0.0646","0.0797","0.0781","0.0735","0.0735","0.0695","0.0706","0.0701","0.0718","0.0709","0.0562","0.0553","0.0581","0.0582","0.0584","0.0585","0.0642","0.0657","0.052","0.0521"
"Selling, General and Administrative Expense of Revenue","0.1897","0.208","0.1995","0.2034","0.2001","0.199","0.205","0.2194","0.2111","0.211","0.2279","0.2358","0.2346","0.2331","0.2389","0.2389","0.2382","0.2412","0.254","0.2489","0.2333","0.2297","0.2315","0.2358","0.2288","0.2225","0.2309","0.2397","0.2279","0.2243","0.2286","0.2321","0.2229","0.2202","0.233","0.2277","0.2218","0.2179","0.2276"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
