"","42916.0","42825.0","42735.0","42616.0","42532.0","42448.0","42364.0","42252.0","42168.0","42084.0","42000.0","41888.0","41804.0","41720.0","41636.0","41524.0","41440.0","41356.0","41272.0","41160.0","41076.0","40992.0","40908.0","40789.0","40705.0","40621.0","40537.0","40425.0","40341.0","40257.0","40173.0","40061.0","39977.0","39893.0","39809.0","39697.0","39613.0","39529.0","39445.0",""
"Book Value per Share","-17.523","-15.837","-15.292","-4.694","-0.812","0.514","2.247","4.371","3.758","4.071","3.666","5.841","5.27","5.272","5.005","5.065","5.08","5.232","4.987","5.032","4.835","4.95","4.161","4.485","4.055","3.977","3.562","3.518","2.623","2.38","2.382","2.12","1.207","0.383","-0.203","0.781","1.229","0.797","2.239",""
"Tangible Book Value per Share","14.097","12.158","12.986","24.466","17.846","17.89","16.988","17.034","16.919","16.905","16.723","17.443","16.584","16.235","16.096","16.144","15.421","16.032","16.133","15.915","16.141","16.442","17.056","16.345","15.31","15.722","15.327","14.878","13.024","12.924","12.927","12.834","12.615","12.226","12.078","12.464","12.313","12.461","12.115",""
"FCF per Share","0.221","0.578","1.676","1.136","0.515","0.133","1.387","1.178","1.466","0.587","0.667","1.335","0.639","0.63","0.899","0.53","1.338","0.207","0.364","0.122","1.364","0.473","0.652","0.174","1.199","0.554","0.717","0.307","1.09","0.601","0.507","-0.011","1.04","0.013","0.337","0.078","0.661","0.148","0.509","0.128"
"Interest Debt per Share","28.283","24.8174","24.8638","23.5119","13.1626","11.8201","9.1086","7.4605","7.8608","7.8201","7.6436","7.7039","7.1707","6.816","6.7119","6.5707","6.6379","6.5339","6.5116","6.6272","7.1891","7.2218","7.2031","6.9486","7.0624","7.6757","7.6571","7.7709","6.9207","6.9788","6.9831","7.0581","7.6865","7.7011","7.759","7.7209","7.1834","7.7477","6.3153",""
"Cash per Share","2.7855","1.4305","1.9755","7.3996","1.9512","2.2852","0.7258","1.9967","1.4709","1.5585","1.3212","1.5581","1.3526","1.6571","1.2867","1.6875","1.1115","1.6906","1.7175","2.0665","2.1365","2.387","3.253","3.3074","2.6956","3.271","3.0432","2.728","1.1338","0.9461","0.7548","0.9088","0.6153","0.6284","0.467","0.6272","0.686","1.0116","1.5513",""
"Debt to Equity Ratio","-1.6141","-1.5671","-1.626","-5.0093","-16.2024","23.0048","4.0537","1.7066","2.0917","1.9212","2.0848","1.3189","1.3607","1.2929","1.341","1.2973","1.3068","1.2489","1.3058","1.3169","1.4868","1.459","1.7312","1.5492","1.7415","1.9301","2.1498","2.2088","2.6387","2.932","2.9318","3.3296","6.3698","20.125","-38.1809","9.888","5.8471","9.7203","2.82",""
"Total Debt To Total Assets","1.76","1.7682","1.6734","0.8787","0.6553","0.5876","0.4873","0.3873","0.4098","0.4078","0.4012","0.3691","0.3593","0.3468","0.3438","0.3359","0.3407","0.3292","0.3264","0.3366","0.3608","0.3559","0.3755","0.3775","0.4006","0.4258","0.4315","0.4487","0.4528","0.4586","0.4569","0.4624","0.5124","0.5391","0.5499","0.5306","0.4985","0.5329","0.4469",""
"Interest Coverage","3.9904","4.1835","3.8531","7.4023","9.5098","12.375","11.619","6.7619","18.6875","11.2121","14.9118","-0.6604","19.6786","16.3793","17.303","3.7712","11.7742","12.3438","15.7419","12.0476","20.75","12.3947","17.3514","11.0","15.0625","11.8","9.2558","8.0926","14.0526","9.9524","8.7805","6.6607","11.0476","9.093","6.6038","4.8784","8.6809","6.0769","8.0","6.1111"
"Current Ratio","1.208","0.82","1.156","1.741","0.824","0.422","0.546","0.726","0.643","0.779","0.645","0.98","0.874","0.841","0.747","0.92","0.807","0.909","0.845","1.011","0.965","1.014","0.947","1.037","1.076","1.065","0.945","0.945","0.662","0.88","0.731","0.786","0.69","0.708","0.552","0.668","0.702","0.663","0.718",""
